"","lemma_morphit","form_1ps_ind","formfreq_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","formfreq_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","formfreq_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","formfreq_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf","fonroot_noinc_1ps_ind"
"120","crescere","cresco",188,"kresko","kresk","k","ere","kreSS","-","cresce",30840,"kreSSe","kreSS","-","cresciamo",338,"kreSSamo","kreSS","-","cresca",2195,"kreska","kresk","k",1,0,"-"
"121","crocifiggere","crocifiggo",11,"krotSifiggo","krotSifigg","g","ere","krotSifiddG","dG","crocifigge",69,"krotSifiddGe","krotSifiddG","dG","crocifiggiamo",17,"krotSifiddGamo","krotSifiddG","dG","crocifigga",6,"krotSifigga","krotSifigg","g",1,0,"-"
"122","cuocere","cuocio",81,"kuotSo","kuotS","tS","ere","kuotS","tS","cuoce",807,"kuotSe","kuotS","tS","cuociamo",38,"kuotSamo","kuotS","tS","cuocia",72,"kuotSa","kuotS","tS",0,1,"-"
"123","decadere","decado",4,"dekado","dekad","-","ere","dekad","-","decade",4051,"dekade","dekad","-","decadiamo",4,"dekadiamo","dekad","-","decada",307,"dekada","dekad","-",0,1,"-"
"124","decidere","decido",4157,"detSido","detSid","-","ere","detSid","-","decide",58477,"detSide","detSid","-","decidiamo",5444,"detSidiamo","detSid","-","decida",7676,"detSida","detSid","-",0,1,"-"
"125","decomprimere","decomprimo",4,"dekomprimo","dekomprim","-","ere","dekomprim","-","decomprime",91,"dekomprime","dekomprim","-","decomprimiamo",9,"dekomprimiamo","dekomprim","-","decomprima",8,"dekomprima","dekomprim","-",0,1,"-"
"126","deludere","deludo",36,"deludo","delud","-","ere","delud","-","delude",2367,"delude","delud","-","deludiamo",29,"deludiamo","delud","-","deluda",156,"deluda","delud","-",0,1,"-"
"127","demordere","demordo",189,"demordo","demord","-","ere","demord","-","demorde",664,"demorde","demord","-","demordiamo",39,"demordiamo","demord","-","demorda",18,"demorda","demord","-",0,1,"-"
"128","deprimere","deprimo",127,"deprimo","deprim","-","ere","deprim","-","deprime",849,"deprime","deprim","-","deprimiamo",17,"deprimiamo","deprim","-","deprima",38,"deprima","deprim","-",0,1,"-"
"129","deridere","derido",18,"derido","derid","-","ere","derid","-","deride",358,"deride","derid","-","deridiamo",8,"deridiamo","derid","-","derida",26,"derida","derid","-",0,1,"-"
"130","descrivere","descrivo",867,"deskrivo","deskriv","-","ere","deskriv","-","descrive",24022,"deskrive","deskriv","-","descriviamo",414,"deskriviamo","deskriv","-","descriva",1184,"deskriva","deskriv","-",0,1,"-"
"131","desistere","desisto",68,"desisto","desist","-","ere","desist","-","desiste",258,"desiste","desist","-","desistiamo",44,"desistiamo","desist","-","desista",75,"desista","desist","-",0,1,"-"
"132","desumere","desumo",107,"desumo","desum","-","ere","desum","-","desume",2615,"desume","desum","-","desumiamo",54,"desumiamo","desum","-","desuma",100,"desuma","desum","-",0,1,"-"
"133","detenere","detengo",66,"detengo","deteng","ng","ere","deten","-","detiene",9149,"detiene","detien","-","deteniamo",46,"deteniamo","deten","-","detenga",900,"detenga","deteng","ng",1,0,"-"
"134","devolvere","devolvo",15,"devolvo","devolv","-","ere","devolv","-","devolve",635,"devolve","devolv","-","devolviamo",11,"devolviamo","devolv","-","devolva",38,"devolva","devolv","-",0,1,"-"
"135","dibattere","dibatto",165,"dibatto","dibatt","-","ere","dibatt","-","dibatte",1832,"dibatte","dibatt","-","dibattiamo",198,"dibattiamo","dibatt","-","dibatta",77,"dibatta","dibatt","-",0,1,"-"
"136","difendere","difendo",1334,"difendo","difend","-","ere","difend","-","difende",14697,"difende","difend","-","difendiamo",1208,"difendiamo","difend","-","difenda",1197,"difenda","difend","-",0,1,"-"
"137","diffondere","diffondo",115,"diffondo","diffond","-","ere","diffond","-","diffonde",9323,"diffonde","diffond","-","diffondiamo",351,"diffondiamo","diffond","-","diffonda",1094,"diffonda","diffond","-",0,1,"-"
"138","dimettere","dimetto",418,"dimetto","dimett","-","ere","dimett","-","dimette",2308,"dimette","dimett","-","dimettiamo",28,"dimettiamo","dimett","-","dimetta",800,"dimetta","dimett","-",0,1,"-"
"139","dipendere","dipendo",162,"dipendo","dipend","-","ere","dipend","-","dipende",61436,"dipende","dipend","-","dipendiamo",358,"dipendiamo","dipend","-","dipenda",4314,"dipenda","dipend","-",0,1,"-"
"140","dipingere","dipingo",395,"dipingo","diping","ng","ere","dipindG","dG","dipinge",4714,"dipindGe","dipindG","dG","dipingiamo",75,"dipindGamo","dipindG","dG","dipinga",119,"dipinga","diping","ng",1,0,"-"
"141","dirigere","dirigo",1214,"dirigo","dirig","g","ere","diridG","dG","dirige",14097,"diridGe","diridG","dG","dirigiamo",1897,"diridGamo","diridG","dG","diriga",390,"diriga","dirig","g",1,0,"-"
"142","discendere","discendo",94,"diSSendo","diSSend","-","ere","diSSend","-","discende",9105,"diSSende","diSSend","-","discendiamo",163,"diSSendiamo","diSSend","-","discenda",485,"diSSenda","diSSend","-",0,1,"-"
"143","discernere","discerno",68,"diSSerno","diSSern","-","ere","diSSern","-","discerne",294,"diSSerne","diSSern","-","discerniamo",16,"diSSerniamo","diSSern","-","discerna",39,"diSSerna","diSSern","-",0,1,"-"
"144","dischiudere","dischiudo",7,"diskiudo","diskiud","-","ere","diskiud","-","dischiude",525,"diskiude","diskiud","-","dischiudiamo",3,"diskiudiamo","diskiud","-","dischiuda",34,"diskiuda","diskiud","-",0,1,"-"
"145","disconnettere","disconnetto",35,"diskonnetto","diskonnett","-","ere","diskonnett","-","disconnette",136,"diskonnette","diskonnett","-","disconnettiamo",3,"diskonnettiamo","diskonnett","-","disconnetta",15,"diskonnetta","diskonnett","-",0,1,"-"
"146","disconoscere","disconosco",41,"diskonosko","diskonosk","k","ere","diskonoSS","-","disconosce",603,"diskonoSSe","diskonoSS","-","disconosciamo",30,"diskonoSSamo","diskonoSS","-","disconosca",75,"diskonoska","diskonosk","k",1,0,"-"
"147","discorrere","discorro",29,"diskorro","diskorr","-","ere","diskorr","-","discorre",382,"diskorre","diskorr","-","discorriamo",40,"diskorriamo","diskorr","-","discorra",57,"diskorra","diskorr","-",0,1,"-"
"148","discutere","discuto",1322,"diskuto","diskut","-","ere","diskut","-","discute",15276,"diskute","diskut","-","discutiamo",2547,"diskutiamo","diskut","-","discuta",1483,"diskuta","diskut","-",0,1,"-"
"149","dismettere","dismetto",6,"dismetto","dismett","-","ere","dismett","-","dismette",130,"dismette","dismett","-","dismettiamo",9,"dismettiamo","dismett","-","dismetta",16,"dismetta","dismett","-",0,1,"-"
"150","disperdere","disperdo",49,"disperdo","disperd","-","ere","disperd","-","disperde",1666,"disperde","disperd","-","disperdiamo",51,"disperdiamo","disperd","-","disperda",329,"disperda","disperd","-",0,1,"-"
"151","dispiacere","dispiaccio",184,"dispiattSo","dispiattS","tS","ere","dispiatS","tS","dispiace",28074,"dispiatSe","dispiatS","tS","dispiacciamo",6,"dispiattSamo","","-","dispiaccia",745,"dispiattSa","dispiattS","tS",1,0,"-"
"152","dissolvere","dissolvo",29,"dissolvo","dissolv","-","ere","dissolv","-","dissolve",1798,"dissolve","dissolv","-","dissolviamo",11,"dissolviamo","dissolv","-","dissolva",189,"dissolva","dissolv","-",0,1,"-"
"153","distendere","distendo",89,"distendo","distend","-","ere","distend","-","distende",1354,"distende","distend","-","distendiamo",12,"distendiamo","distend","-","distenda",55,"distenda","distend","-",0,1,"-"
"154","distinguere","distinguo",607,"distinguo","distingu","-","ere","distingu","-","distingue",17942,"distingue","distingu","-","distinguiamo",576,"distinguiamo","distingu","-","distingua",749,"distingua","distingu","-",0,1,"-"
"155","distogliere","distolgo",54,"distolgo","distolg","lg","ere","distoLL","LL","distoglie",859,"distoLLe","distoLL","LL","distogliamo",36,"distoLLamo","distoLL","LL","distolga",164,"distolga","distolg","lg",1,0,"-"
"156","distorcere","distorco",7,"distorko","distork","k","ere","distortS","tS","distorce",658,"distortSe","distortS","tS","distorciamo",12,"distortSamo","distortS","tS","distorca",40,"distorka","distork","k",1,0,"-"
"157","distruggere","distruggo",271,"distruggo","distrugg","g","ere","distruddG","dG","distrugge",8014,"distruddGe","distruddG","dG","distruggiamo",279,"distruddGamo","distruddG","dG","distrugga",556,"distrugga","distrugg","g",1,0,"-"
"158","divergere","divergo",10,"divergo","diverg","g","ere","diverdG","dG","diverge",377,"diverdGe","diverdG","dG","divergiamo",26,"diverdGamo","diverdG","dG","diverga",35,"diverga","diverg","g",1,0,"-"
"159","dividere","divido",487,"divido","divid","-","ere","divid","-","divide",18010,"divide","divid","-","dividiamo",842,"dividiamo","divid","-","divida",629,"divida","divid","-",0,1,"-"
"160","dolere","dolo",58,"dolo","dol","-","ere","dol","-","dole",140,"dole","dol","-","doliamo",11,"doliamo","dol","-","dola",19,"dola","dol","-",0,1,"-"
"161","dovere","devo",124289,"devo","dev","-","ere","dov","-","deve",958256,"deve","dev","-","dobbiamo",132878,"dobbiamo","","-","debba",102462,"debba","debb","-",0,0,"-"
"169","dovere","devo",124289,"devo","dev","-","ere","dov","-","deve",5,"deve","dev","-","dobbiamo",132878,"dobbiamo","","-","debba",102462,"debba","debb","-",0,0,"-"
"185","eccedere","eccedo",44,"ettSedo","ettSed","-","ere","ettSed","-","eccede",2403,"ettSede","ettSed","-","eccediamo",17,"ettSediamo","ettSed","-","ecceda",1739,"ettSeda","ettSed","-",0,1,"-"
"186","eccellere","eccello",13,"ettSello","ettSell","-","ere","ettSell","-","eccelle",897,"ettSelle","ettSell","-","eccelliamo",14,"ettSelliamo","ettSell","-","eccella",43,"ettSella","ettSell","-",0,1,"-"
"187","effondere","effondo",37,"effondo","effond","-","ere","effond","-","effonde",254,"effonde","effond","-","effondiamo",5,"effondiamo","effond","-","effonda",32,"effonda","effond","-",0,1,"-"
"188","eleggere","eleggo",85,"eleggo","elegg","g","ere","eleddG","dG","elegge",6583,"eleddGe","eleddG","dG","eleggiamo",165,"eleddGamo","eleddG","dG","elegga",220,"elegga","elegg","g",1,0,"-"
