"","lemma_morphit","form_1ps_ind","formfreq_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","formfreq_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","formfreq_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","formfreq_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf","fonroot_noinc_1ps_ind"
"325","riassumere","riassumo",659,"riassumo","riassum","-","ere","riassum","-","riassume",7468,"riassume","riassum","-","riassumiamo",447,"riassumiamo","riassum","-","riassuma",391,"riassuma","riassum","-",0,1,"-"
"326","riavvolgere","riavvolgo",21,"riavvolgo","riavvolg","lg","ere","riavvoldG","dG","riavvolge",115,"riavvoldGe","riavvoldG","dG","riavvolgiamo",8,"riavvoldGamo","riavvoldG","dG","riavvolga",4,"riavvolga","riavvolg","lg",1,0,"-"
"327","ribattere","ribatto",191,"ribatto","ribatt","-","ere","ribatt","-","ribatte",3698,"ribatte","ribatt","-","ribattiamo",19,"ribattiamo","ribatt","-","ribatta",47,"ribatta","ribatt","-",0,1,"-"
"328","ricadere","ricado",80,"rikado","rikad","-","ere","rikad","-","ricade",5822,"rikade","rikad","-","ricadiamo",111,"rikadiamo","rikad","-","ricada",1091,"rikada","rikad","-",0,1,"-"
"329","ricevere","ricevo",3501,"ritSevo","ritSev","-","ere","ritSev","-","riceve",36905,"ritSeve","ritSev","-","riceviamo",3251,"ritSeviamo","ritSev","-","riceva",2792,"ritSeva","ritSev","-",0,1,"-"
"330","richiedere","richiedo",500,"rikiedo","rikied","-","ere","rikied","-","richiede",90127,"rikiede","rikied","-","richiediamo",339,"rikiediamo","rikied","-","richieda",7646,"rikieda","rikied","-",0,1,"-"
"331","richiudere","richiudo",111,"rikiudo","rikiud","-","ere","rikiud","-","richiude",678,"rikiude","rikiud","-","richiudiamo",15,"rikiudiamo","rikiud","-","richiuda",47,"rikiuda","rikiud","-",0,1,"-"
"332","ricomprendere","ricomprendo",17,"rikomprendo","rikomprend","-","ere","rikomprend","-","ricomprende",1494,"rikomprende","rikomprend","-","ricomprendiamo",8,"rikomprendiamo","rikomprend","-","ricomprenda",248,"rikomprenda","rikomprend","-",0,1,"-"
"333","ricongiungere","ricongiungo",10,"rikondGungo","rikondGung","ng","ere","rikondGundG","dG","ricongiunge",522,"rikondGundGe","rikondGundG","dG","ricongiungiamo",23,"rikondGundGamo","rikondGundG","dG","ricongiunga",38,"rikondGunga","rikondGung","ng",1,0,"-"
"334","riconoscere","riconosco",5566,"rikonosko","rikonosk","k","ere","rikonoSS","-","riconosce",43654,"rikonoSSe","rikonoSS","-","riconosciamo",3792,"rikonoSSamo","rikonoSS","-","riconosca",4895,"rikonoska","rikonosk","k",1,0,"-"
"335","ricorrere","ricorro",400,"rikorro","rikorr","-","ere","rikorr","-","ricorre",14396,"rikorre","rikorr","-","ricorriamo",368,"rikorriamo","rikorr","-","ricorra",3449,"rikorra","rikorr","-",0,1,"-"
"336","ricredere","ricredo",44,"rikredo","rikred","-","ere","rikred","-","ricrede",63,"rikrede","rikred","-","ricrediamo",4,"rikrediamo","rikred","-","ricreda",47,"rikreda","rikred","-",0,1,"-"
"337","ridere","rido",1881,"rido","rid","-","ere","rid","-","ride",11919,"ride","rid","-","ridiamo",785,"ridiamo","rid","-","rida",366,"rida","rid","-",0,1,"-"
"338","ridiscendere","ridiscendo",17,"ridiSSendo","ridiSSend","-","ere","ridiSSend","-","ridiscende",262,"ridiSSende","ridiSSend","-","ridiscendiamo",23,"ridiSSendiamo","ridiSSend","-","ridiscenda",4,"ridiSSenda","ridiSSend","-",0,1,"-"
"339","riemergere","riemergo",51,"riemergo","riemerg","g","ere","riemerdG","dG","riemerge",1258,"riemerdGe","riemerdG","dG","riemergiamo",11,"riemerdGamo","riemerdG","dG","riemerga",65,"riemerga","riemerg","g",1,0,"-"
"340","riflettere","rifletto",894,"rifletto","riflett","-","ere","riflett","-","riflette",17901,"riflette","riflett","-","riflettiamo",960,"riflettiamo","riflett","-","rifletta",2102,"rifletta","riflett","-",0,1,"-"
"341","rifondere","rifondo",3,"rifondo","rifond","-","ere","rifond","-","rifonde",54,"rifonde","rifond","-","rifondiamo",6,"rifondiamo","rifond","-","rifonda",142,"rifonda","rifond","-",0,1,"-"
"342","rileggere","rileggo",1222,"rileggo","rilegg","g","ere","rileddG","dG","rilegge",1183,"rileddGe","rileddG","dG","rileggiamo",233,"rileddGamo","rileddG","dG","rilegga",281,"rilegga","rilegg","g",1,0,"-"
"343","rimanere","rimango",5269,"rimango","rimang","ng","ere","riman","-","rimane",119092,"rimane","riman","-","rimaniamo",2599,"rimaniamo","riman","-","rimanga",9668,"rimanga","rimang","ng",1,0,"-"
"345","rimettere","rimetto",1522,"rimetto","rimett","-","ere","rimett","-","rimette",8722,"rimette","rimett","-","rimettiamo",982,"rimettiamo","rimett","-","rimetta",853,"rimetta","rimett","-",0,1,"-"
"346","rimpiangere","rimpiango",1040,"rimpiango","rimpiang","ng","ere","rimpiandG","dG","rimpiange",1001,"rimpiandGe","rimpiandG","dG","rimpiangiamo",157,"rimpiandGamo","rimpiandG","dG","rimpianga",63,"rimpianga","rimpiang","ng",1,0,"-"
"347","rimuovere","rimuovo",85,"rimuovo","rimuov","-","ere","rimuov","-","rimuove",2076,"rimuove","rimuov","-","rimuoviamo",111,"rimuoviamo","rimuov","-","rimuova",325,"rimuova","rimuov","-",0,1,"-"
"348","rinascere","rinasco",141,"rinasko","rinask","k","ere","rinaSS","-","rinasce",1877,"rinaSSe","rinaSS","-","rinasciamo",32,"rinaSSamo","rinaSS","-","rinasca",198,"rinaska","rinask","k",1,0,"-"
"349","rinchiudere","rinchiudo",52,"rinkiudo","rinkiud","-","ere","rinkiud","-","rinchiude",598,"rinkiude","rinkiud","-","rinchiudiamo",92,"rinkiudiamo","rinkiud","-","rinchiuda",56,"rinkiuda","rinkiud","-",0,1,"-"
"350","rincorrere","rincorro",114,"rinkorro","rinkorr","-","ere","rinkorr","-","rincorre",1096,"rinkorre","rinkorr","-","rincorriamo",79,"rinkorriamo","rinkorr","-","rincorra",34,"rinkorra","rinkorr","-",0,1,"-"
"351","riottenere","riottengo",5,"riottengo","riotteng","ng","ere","riotten","-","riottiene",76,"riottiene","riottien","-","riotteniamo",4,"riotteniamo","riotten","-","riottenga",3,"riottenga","riotteng","ng",1,0,"-"
"352","ripercorrere","ripercorro",113,"riperkorro","riperkorr","-","ere","riperkorr","-","ripercorre",6811,"riperkorre","riperkorr","-","ripercorriamo",393,"riperkorriamo","riperkorr","-","ripercorra",116,"riperkorra","riperkorr","-",0,1,"-"
"353","ripetere","ripeto",28209,"ripeto","ripet","-","ere","ripet","-","ripete",15859,"ripete","ripet","-","ripetiamo",2643,"ripetiamo","ripet","-","ripeta",1980,"ripeta","ripet","-",0,1,"-"
"354","riprendere","riprendo",2181,"riprendo","riprend","-","ere","riprend","-","riprende",25092,"riprende","riprend","-","riprendiamo",2150,"riprendiamo","riprend","-","riprenda",1952,"riprenda","riprend","-",0,1,"-"
"355","ripromettere","riprometto",654,"riprometto","ripromett","-","ere","ripromett","-","ripromette",447,"ripromette","ripromett","-","ripromettiamo",193,"ripromettiamo","ripromett","-","riprometta",21,"riprometta","ripromett","-",0,1,"-"
"356","riscrivere","riscrivo",480,"riskrivo","riskriv","-","ere","riskriv","-","riscrive",1041,"riskrive","riskriv","-","riscriviamo",73,"riskriviamo","riskriv","-","riscriva",157,"riskriva","riskriv","-",0,1,"-"
"357","riscuotere","riscuoto",43,"riskuoto","riskuot","-","ere","riskuot","-","riscuote",2216,"riskuote","riskuot","-","riscuotiamo",10,"riskuotiamo","riskuot","-","riscuota",144,"riskuota","riskuot","-",0,1,"-"
"358","risedere","risiedo",793,"risiedo","risied","-","ere","rised","-","risiede",18844,"risiede","risied","-","risediamo",14,"risediamo","rised","-","risieda",1687,"risieda","risied","-",0,0,"-"
"359","risedere","risiedo",793,"risiedo","risied","-","ere","rised","-","risiede",18844,"risiede","risied","-","risiediamo",40,"risiediamo","","-","risieda",1687,"risieda","risied","-",0,0,"-"
"360","risiedere","risiedo",793,"risiedo","risied","-","ere","risied","-","risiede",18844,"risiede","risied","-","risiediamo",40,"risiediamo","risied","-","risieda",1687,"risieda","risied","-",0,1,"-"
"361","risolvere","risolvo",604,"risolvo","risolv","-","ere","risolv","-","risolve",16757,"risolve","risolv","-","risolviamo",585,"risolviamo","risolv","-","risolva",3127,"risolva","risolv","-",0,1,"-"
"362","risorgere","risorgo",42,"risorgo","risorg","g","ere","risordG","dG","risorge",1252,"risordGe","risordG","dG","risorgiamo",25,"risordGamo","risordG","dG","risorga",118,"risorga","risorg","g",1,0,"-"
"363","rispondere","rispondo",13501,"rispondo","rispond","-","ere","rispond","-","risponde",80048,"risponde","rispond","-","rispondiamo",1838,"rispondiamo","rispond","-","risponda",7414,"risponda","rispond","-",0,1,"-"
"364","ristringere","ristringo",10,"ristringo","ristring","ng","ere","ristrindG","dG","ristringe",40,"ristrindGe","ristrindG","dG","ristringiamo",4,"ristrindGamo","ristrindG","dG","ristringa",5,"ristringa","ristring","ng",1,0,"-"
"365","ritenere","ritengo",43171,"ritengo","riteng","ng","ere","riten","-","ritiene",143357,"ritiene","ritien","-","riteniamo",21058,"riteniamo","riten","-","ritenga",17719,"ritenga","riteng","ng",1,0,"-"
"366","ritrasmettere","ritrasmetto",30,"ritrasmetto","ritrasmett","-","ere","ritrasmett","-","ritrasmette",530,"ritrasmette","ritrasmett","-","ritrasmettiamo",5,"ritrasmettiamo","ritrasmett","-","ritrasmetta",22,"ritrasmetta","ritrasmett","-",0,1,"-"
"367","rivedere","rivedo",1861,"rivedo","rived","-","ere","rived","-","rivede",2451,"rivede","rived","-","rivediamo",842,"rivediamo","rived","-","riveda",604,"riveda","rived","-",0,1,"-"
"368","rivendere","rivendo",141,"rivendo","rivend","-","ere","rivend","-","rivende",603,"rivende","rivend","-","rivendiamo",40,"rivendiamo","rivend","-","rivenda",36,"rivenda","rivend","-",0,1,"-"
"369","rivivere","rivivo",294,"rivivo","riviv","-","ere","riviv","-","rivive",2254,"rivive","riviv","-","riviviamo",140,"riviviamo","riviv","-","riviva",68,"riviva","riviv","-",0,1,"-"
"370","rivolere","rivoglio",378,"rivoLLo","rivoLL","LL","ere","rivol","-","rivuole",336,"rivuole","rivuol","-","rivogliamo",115,"rivoLLamo","","-","rivoglia",13,"rivoLLa","rivoLL","LL",1,0,"-"
"371","rivolgere","rivolgo",7722,"rivolgo","rivolg","lg","ere","rivoldG","dG","rivolge",29446,"rivoldGe","rivoldG","dG","rivolgiamo",3151,"rivoldGamo","rivoldG","dG","rivolga",2092,"rivolga","rivolg","lg",1,0,"-"
"372","rodere","rodo",96,"rodo","rod","-","ere","rod","-","rode",1146,"rode","rod","-","rodiamo",4,"rodiamo","rod","-","roda",129,"roda","rod","-",0,1,"-"
"373","rompere","rompo",1140,"rompo","romp","-","ere","romp","-","rompe",9196,"rompe","romp","-","rompiamo",276,"rompiamo","romp","-","rompa",996,"rompa","romp","-",0,1,"-"
"374","sapere","so",265776,"so","s","-","ere","sap","-","sa",230282,"sa","s","-","sappiamo",63943,"sappiamo","sap","-","sappia",25763,"sappia","sappi","-",0,0,"-"
"401","sbattere","sbatto",660,"sbatto","sbatt","-","ere","sbatt","-","sbatte",2934,"sbatte","sbatt","-","sbattiamo",142,"sbattiamo","sbatt","-","sbatta",143,"sbatta","sbatt","-",0,1,"-"
"409","scadere","scado",8,"skado","skad","-","ere","skad","-","scade",7592,"skade","skad","-","scadiamo",41,"skadiamo","skad","-","scada",987,"skada","skad","-",0,1,"-"
"410","scegliere","scelgo",2911,"Selgo","Selg","lg","ere","SeLL","LL","sceglie",22500,"SeLLe","SeLL","LL","scegliamo",3273,"SeLLamo","SeLL","LL","scelga",2721,"Selga","Selg","lg",1,0,"-"
"411","scendere","scendo",2220,"Sendo","Send","-","ere","Send","-","scende",24440,"Sende","Send","-","scendiamo",1771,"Sendiamo","Send","-","scenda",1530,"Senda","Send","-",0,1,"-"
"412","scindere","scindo",19,"Sindo","Sind","-","ere","Sind","-","scinde",462,"Sinde","Sind","-","scindiamo",15,"Sindiamo","Sind","-","scinda",14,"Sinda","Sind","-",0,1,"-"
"413","sciogliere","sciolgo",250,"Solgo","Solg","lg","ere","SoLL","LL","scioglie",5242,"SoLLe","SoLL","LL","sciogliamo",133,"SoLLamo","SoLL","LL","sciolga",558,"Solga","Solg","lg",1,0,"-"
"414","scommettere","scommetto",1744,"skommetto","skommett","-","ere","skommett","-","scommette",1415,"skommette","skommett","-","scommettiamo",427,"skommettiamo","skommett","-","scommetta",37,"skommetta","skommett","-",0,1,"-"
"415","sconfiggere","sconfiggo",12,"skonfiggo","skonfigg","g","ere","skonfiddG","dG","sconfigge",1683,"skonfiddGe","skonfiddG","dG","sconfiggiamo",28,"skonfiddGamo","skonfiddG","dG","sconfigga",82,"skonfigga","skonfigg","g",1,0,"-"
"416","sconoscere","sconosco",24,"skonosko","skonosk","k","ere","skonoSS","-","sconosce",45,"skonoSSe","skonoSS","-","sconosciamo",5,"skonoSSamo","skonoSS","-","sconosca",3,"skonoska","skonosk","k",1,0,"-"
"417","sconvolgere","sconvolgo",22,"skonvolgo","skonvolg","lg","ere","skonvoldG","dG","sconvolge",2410,"skonvoldGe","skonvoldG","dG","sconvolgiamo",14,"skonvoldGamo","skonvoldG","dG","sconvolga",119,"skonvolga","skonvolg","lg",1,0,"-"
"418","scorgere","scorgo",946,"skorgo","skorg","g","ere","skordG","dG","scorge",2719,"skordGe","skordG","dG","scorgiamo",631,"skordGamo","skordG","dG","scorga",126,"skorga","skorg","g",1,0,"-"
"419","scorrere","scorro",154,"skorro","skorr","-","ere","skorr","-","scorre",14259,"skorre","skorr","-","scorriamo",159,"skorriamo","skorr","-","scorra",626,"skorra","skorr","-",0,1,"-"
"420","scrivere","scrivo",26848,"skrivo","skriv","-","ere","skriv","-","scrive",108002,"skrive","skriv","-","scriviamo",4378,"skriviamo","skriv","-","scriva",3862,"skriva","skriv","-",0,1,"-"
"421","scuotere","scuoto",150,"skuoto","skuot","-","ere","skuot","-","scuote",4126,"skuote","skuot","-","scotiamo",3,"skotiamo","","-","scuota",171,"skuota","skuot","-",0,1,"-"
"422","scuotere","scuoto",150,"skuoto","skuot","-","ere","skuot","-","scuote",4126,"skuote","skuot","-","scuotiamo",32,"skuotiamo","skuot","-","scuota",171,"skuota","skuot","-",0,1,"-"
"423","secernere","secerno",7,"setSerno","setSern","-","ere","setSern","-","secerne",236,"setSerne","setSern","-","secerniamo",3,"setSerniamo","setSern","-","secerna",4,"setSerna","setSern","-",0,1,"-"
"424","sedere","seggo",104,"seggo","segg","g","ere","sed","-","siede",8324,"siede","sied","-","siediamo",5,"siediamo","","-","sieda",515,"sieda","sied","-",0,0,"-"
"425","sedere","seggo",104,"seggo","segg","g","ere","sed","-","siede",8324,"siede","sied","-","sediamo",944,"sediamo","sed","-","sieda",515,"sieda","sied","-",0,0,"-"
"426","sedere","siedo",1882,"siedo","sied","-","ere","sed","-","siede",8324,"siede","sied","-","siediamo",5,"siediamo","","-","sieda",515,"sieda","sied","-",0,0,"-"
"427","sedere","siedo",1882,"siedo","sied","-","ere","sed","-","siede",8324,"siede","sied","-","sediamo",944,"sediamo","sed","-","sieda",515,"sieda","sied","-",0,0,"-"
"428","sfottere","sfotto",200,"sfotto","sfott","-","ere","sfott","-","sfotte",230,"sfotte","sfott","-","sfottiamo",24,"sfottiamo","sfott","-","sfotta",8,"sfotta","sfott","-",0,1,"-"
"429","smettere","smetto",1752,"smetto","smett","-","ere","smett","-","smette",5484,"smette","smett","-","smettiamo",881,"smettiamo","smett","-","smetta",1725,"smetta","smett","-",0,1,"-"
"430","smuovere","smuovo",28,"smuovo","smuov","-","ere","smuov","-","smuove",649,"smuove","smuov","-","smuoviamo",12,"smuoviamo","smuov","-","smuova",145,"smuova","smuov","-",0,1,"-"
"431","soccombere","soccombo",17,"sokkombo","sokkomb","-","ere","sokkomb","-","soccombe",680,"sokkombe","sokkomb","-","soccombiamo",27,"sokkombiamo","sokkomb","-","soccomba",86,"sokkomba","sokkomb","-",0,1,"-"
"432","soccorrere","soccorro",18,"sokkorro","sokkorr","-","ere","sokkorr","-","soccorre",1124,"sokkorre","sokkorr","-","soccorriamo",24,"sokkorriamo","sokkorr","-","soccorra",108,"sokkorra","sokkorr","-",0,1,"-"
"433","soggiacere","soggiaccio",4,"soddGattSo","soddGattS","tS","ere","soddGatS","tS","soggiace",1564,"soddGatSe","soddGatS","tS","soggiaciamo",4,"soddGatSamo","soddGatS","tS","soggiaccia",59,"soddGattSa","soddGattS","tS",1,0,"-"
"434","soggiungere","soggiungo",49,"soddGungo","soddGung","ng","ere","soddGundG","dG","soggiunge",1077,"soddGundGe","soddGundG","dG","soggiungiamo",12,"soddGundGamo","soddGundG","dG","soggiunga",7,"soddGunga","soddGung","ng",1,0,"-"
"435","solere","soglio",1373,"soLLo","soLL","LL","ere","sol","-","suole",1858,"suole","suol","-","sogliamo",30,"soLLamo","","-","sola",50,"sola","sol","-",0,0,"-"
"436","sommergere","sommergo",20,"sommergo","sommerg","g","ere","sommerdG","dG","sommerge",509,"sommerdGe","sommerdG","dG","sommergiamo",6,"sommerdGamo","sommerdG","dG","sommerga",68,"sommerga","sommerg","g",1,0,"-"
"437","sopprimere","sopprimo",25,"sopprimo","sopprim","-","ere","sopprim","-","sopprime",1854,"sopprime","sopprim","-","sopprimiamo",48,"sopprimiamo","sopprim","-","sopprima",175,"sopprima","sopprim","-",0,1,"-"
"438","soprassedere","soprassiedo",24,"soprassiedo","soprassied","-","ere","soprassed","-","soprassiede",41,"soprassiede","soprassied","-","soprassediamo",59,"soprassediamo","soprassed","-","soprassieda",13,"soprassieda","soprassied","-",0,0,"-"
"439","sopravvivere","sopravvivo",185,"sopravvivo","sopravviv","-","ere","sopravviv","-","sopravvive",4423,"sopravvive","sopravviv","-","sopravviviamo",87,"sopravviviamo","sopravviv","-","sopravviva",516,"sopravviva","sopravviv","-",0,1,"-"
"440","sorgere","sorgo",568,"sorgo","sorg","g","ere","sordG","dG","sorge",23445,"sordGe","sordG","dG","sorgiamo",13,"sordGamo","sordG","dG","sorga",1125,"sorga","sorg","g",1,0,"-"
"441","sorprendere","sorprendo",491,"sorprendo","sorprend","-","ere","sorprend","-","sorprende",7655,"sorprende","sorprend","-","sorprendiamo",115,"sorprendiamo","sorprend","-","sorprenda",203,"sorprenda","sorprend","-",0,1,"-"
"442","sorreggere","sorreggo",18,"sorreggo","sorregg","g","ere","sorreddG","dG","sorregge",1670,"sorreddGe","sorreddG","dG","sorreggiamo",4,"sorreddGamo","sorreddG","dG","sorregga",112,"sorregga","sorregg","g",1,0,"-"
"443","sorridere","sorrido",1498,"sorrido","sorrid","-","ere","sorrid","-","sorride",9461,"sorride","sorrid","-","sorridiamo",207,"sorridiamo","sorrid","-","sorrida",287,"sorrida","sorrid","-",0,1,"-"
"444","sospendere","sospendo",496,"sospendo","sospend","-","ere","sospend","-","sospende",6502,"sospende","sospend","-","sospendiamo",141,"sospendiamo","sospend","-","sospenda",590,"sospenda","sospend","-",0,1,"-"
"445","sostenere","sostengo",3174,"sostengo","sosteng","ng","ere","sosten","-","sostiene",73466,"sostiene","sostien","-","sosteniamo",2175,"sosteniamo","sosten","-","sostenga",2525,"sostenga","sosteng","ng",1,0,"-"
"446","sottintendere","sottintendo",21,"sottintendo","sottintend","-","ere","sottintend","-","sottintende",1681,"sottintende","sottintend","-","sottintendiamo",16,"sottintendiamo","sottintend","-","sottintenda",89,"sottintenda","sottintend","-",0,1,"-"
"447","sottomettere","sottometto",74,"sottometto","sottomett","-","ere","sottomett","-","sottomette",834,"sottomette","sottomett","-","sottomettiamo",57,"sottomettiamo","sottomett","-","sottometta",77,"sottometta","sottomett","-",0,1,"-"
"448","sottoscrivere","sottoscrivo",1130,"sottoskrivo","sottoskriv","-","ere","sottoskriv","-","sottoscrive",3159,"sottoskrive","sottoskriv","-","sottoscriviamo",155,"sottoskriviamo","sottoskriv","-","sottoscriva",248,"sottoskriva","sottoskriv","-",0,1,"-"
"449","spargere","spargo",64,"spargo","sparg","g","ere","spardG","dG","sparge",1234,"spardGe","spardG","dG","spargiamo",49,"spardGamo","spardG","dG","sparga",94,"sparga","sparg","g",1,0,"-"
"450","spegnere","spengo",866,"spengo","speng","ng","ere","speNN","NN","spegne",5994,"speNNe","speNN","NN","spegniamo",163,"speNNiamo","speNN","NN","spenga",466,"spenga","speng","ng",1,0,"-"
"451","spendere","spendo",1272,"spendo","spend","-","ere","spend","-","spende",7313,"spende","spend","-","spendiamo",1102,"spendiamo","spend","-","spenda",558,"spenda","spend","-",0,1,"-"
"452","sperdere","sperdo",7,"sperdo","sperd","-","ere","sperd","-","sperde",68,"sperde","sperd","-","sperdiamo",3,"sperdiamo","sperd","-","sperda",13,"sperda","sperd","-",0,1,"-"
"453","spingere","spingo",676,"spingo","sping","ng","ere","spindG","dG","spinge",24161,"spindGe","spindG","dG","spingiamo",378,"spindGamo","spindG","dG","spinga",1392,"spinga","sping","ng",1,0,"-"
"454","splendere","splendo",16,"splendo","splend","-","ere","splend","-","splende",1783,"splende","splend","-","splendiamo",3,"splendiamo","splend","-","splenda",138,"splenda","splend","-",0,1,"-"
"455","sporgere","sporgo",115,"sporgo","sporg","g","ere","spordG","dG","sporge",1161,"spordGe","spordG","dG","sporgiamo",19,"spordGamo","spordG","dG","sporga",177,"sporga","sporg","g",1,0,"-"
"456","spremere","spremo",90,"spremo","sprem","-","ere","sprem","-","spreme",233,"spreme","sprem","-","spremiamo",31,"spremiamo","sprem","-","sprema",21,"sprema","sprem","-",0,1,"-"
"457","stendere","stendo",594,"stendo","stend","-","ere","stend","-","stende",3259,"stende","stend","-","stendiamo",484,"stendiamo","stend","-","stenda",242,"stenda","stend","-",0,1,"-"
"458","storcere","storco",27,"storko","stork","k","ere","stortS","tS","storce",376,"stortSe","stortS","tS","storciamo",13,"stortSamo","stortS","tS","storca",27,"storka","stork","k",1,0,"-"
"459","stravedere","stravedo",99,"stravedo","straved","-","ere","straved","-","stravede",174,"stravede","straved","-","stravediamo",4,"stravediamo","straved","-","straveda",18,"straveda","straved","-",0,1,"-"
"460","stravincere","stravinco",8,"stravinko","stravink","k","ere","stravintS","tS","stravince",376,"stravintSe","stravintS","tS","stravinciamo",14,"stravintSamo","stravintS","tS","stravinca",17,"stravinka","stravink","k",1,0,"-"
"461","stravolgere","stravolgo",18,"stravolgo","stravolg","lg","ere","stravoldG","dG","stravolge",1719,"stravoldGe","stravoldG","dG","stravolgiamo",18,"stravoldGamo","stravoldG","dG","stravolga",187,"stravolga","stravolg","lg",1,0,"-"
"462","stringere","stringo",1090,"stringo","string","ng","ere","strindG","dG","stringe",7658,"strindGe","strindG","dG","stringiamo",467,"strindGamo","strindG","dG","stringa",11011,"stringa","string","ng",1,0,"-"
"463","struggere","struggo",99,"struggo","strugg","g","ere","struddG","dG","strugge",435,"struddGe","struddG","dG","struggiamo",10,"struddGamo","struddG","dG","strugga",16,"strugga","strugg","g",1,0,"-"
"464","succedere","succedo",10,"suttSedo","suttSed","-","ere","suttSed","-","succede",50724,"suttSede","suttSed","-","succediamo",3,"suttSediamo","suttSed","-","succeda",3367,"suttSeda","suttSed","-",0,1,"-"
"465","suddividere","suddivido",31,"suddivido","suddivid","-","ere","suddivid","-","suddivide",2160,"suddivide","suddivid","-","suddividiamo",68,"suddividiamo","suddivid","-","suddivida",51,"suddivida","suddivid","-",0,1,"-"
"466","svendere","svendo",42,"svendo","svend","-","ere","svend","-","svende",270,"svende","svend","-","svendiamo",32,"svendiamo","svend","-","svenda",19,"svenda","svend","-",0,1,"-"
"467","svolgere","svolgo",1258,"svolgo","svolg","lg","ere","svoldG","dG","svolge",83361,"svoldGe","svoldG","dG","svolgiamo",803,"svoldGamo","svoldG","dG","svolga",7865,"svolga","svolg","lg",1,0,"-"
"468","tacere","taccio",628,"tattSo","tattS","tS","ere","tatS","tS","tace",5632,"tatSe","tatS","tS","taciamo",29,"tatSamo","tatS","tS","taccia",733,"tattSa","tattS","tS",1,0,"-"
"469","temere","temo",10917,"temo","tem","-","ere","tem","-","teme",14202,"teme","tem","-","temiamo",1848,"temiamo","tem","-","tema",233,"tema","tem","-",0,1,"-"
"470","tendere","tendo",1760,"tendo","tend","-","ere","tend","-","tende",51233,"tende","tend","-","tendiamo",1481,"tendiamo","tend","-","tenda",2899,"tenda","tend","-",0,1,"-"
"471","tenere","tengo",13619,"tengo","teng","ng","ere","ten","-","tiene",72326,"tiene","tien","-","teniamo",6037,"teniamo","ten","-","tenga",18604,"tenga","teng","ng",1,0,"-"
"472","tessere","tesso",174,"tesso","tess","-","ere","tess","-","tesse",1163,"tesse","tess","-","tessiamo",28,"tessiamo","tess","-","tessa",80,"tessa","tess","-",0,1,"-"
"473","tingere","tingo",39,"tingo","ting","ng","ere","tindG","dG","tinge",1342,"tindGe","tindG","dG","tingiamo",17,"tindGamo","tindG","dG","tinga",34,"tinga","ting","ng",1,0,"-"
"474","togliere","tolgo",2107,"tolgo","tolg","lg","ere","toLL","LL","toglie",20462,"toLLe","toLL","LL","togliamo",1308,"toLLamo","toLL","LL","tolga",1731,"tolga","tolg","lg",1,0,"-"
"475","torcere","torco",27,"torko","tork","k","ere","tortS","tS","torce",418,"tortSe","tortS","tS","torciamo",3,"tortSamo","tortS","tS","torca",36,"torka","tork","k",1,0,"-"
"476","transigere","transigo",79,"transigo","transig","g","ere","transidG","dG","transige",174,"transidGe","transidG","dG","transigiamo",11,"transidGamo","transidG","dG","transiga",5,"transiga","transig","g",1,0,"-"
"477","trascendere","trascendo",23,"traSSendo","traSSend","-","ere","traSSend","-","trascende",2779,"traSSende","traSSend","-","trascendiamo",18,"traSSendiamo","traSSend","-","trascenda",278,"traSSenda","traSSend","-",0,1,"-"
"478","trascorrere","trascorro",381,"traskorro","traskorr","-","ere","traskorr","-","trascorre",4243,"traskorre","traskorr","-","trascorriamo",363,"traskorriamo","traskorr","-","trascorra",263,"traskorra","traskorr","-",0,1,"-"
"479","trascrivere","trascrivo",567,"traskrivo","traskriv","-","ere","traskriv","-","trascrive",2046,"traskrive","traskriv","-","trascriviamo",103,"traskriviamo","traskriv","-","trascriva",56,"traskriva","traskriv","-",0,1,"-"
"480","trasmettere","trasmetto",588,"trasmetto","trasmett","-","ere","trasmett","-","trasmette",24118,"trasmette","trasmett","-","trasmettiamo",482,"trasmettiamo","trasmett","-","trasmetta",1205,"trasmetta","trasmett","-",0,1,"-"
"481","trattenere","trattengo",568,"trattengo","tratteng","ng","ere","tratten","-","trattiene",3583,"trattiene","trattien","-","tratteniamo",109,"tratteniamo","tratten","-","trattenga",461,"trattenga","tratteng","ng",1,0,"-"
"482","travolgere","travolgo",12,"travolgo","travolg","lg","ere","travoldG","dG","travolge",2216,"travoldGe","travoldG","dG","travolgiamo",12,"travoldGamo","travoldG","dG","travolga",169,"travolga","travolg","lg",1,0,"-"
"483","uccidere","uccido",994,"uttSido","uttSid","-","ere","uttSid","-","uccide",16290,"uttSide","uttSid","-","uccidiamo",352,"uttSidiamo","uttSid","-","uccida",806,"uttSida","uttSid","-",0,1,"-"
"484","ungere","ungo",85,"ungo","ung","ng","ere","undG","dG","unge",180,"undGe","undG","dG","ungiamo",7,"undGamo","undG","dG","unga",44,"unga","ung","ng",1,0,"-"
