"","lemma_morphit","form_1ps_ind","formfreq_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","fonroot_noinc_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","formfreq_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","formfreq_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","formfreq_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf"
"276","soffrire","soffro",3275,"soffro","soffr","soffr","-","ire","soffr","-","soffre",20605,"soffre","soffr","-","soffriamo",975,"soffriamo","soffr","-","soffra",1201,"soffra","soffr","-",0,1
"277","sopperire","sopperisco",11,"sopperisko","sopperisk","sopper","k","ire","sopper","-","sopperisce",334,"sopperiSSe","sopperiSS","-","sopperiamo",7,"sopperiamo","sopper","-","sopperisca",50,"sopperiska","sopperisk","k",1,0
"278","sorbire","sorbisco",24,"sorbisko","sorbisk","sorb","k","ire","sorb","-","sorbisce",49,"sorbiSSe","sorbiSS","-","sorbiamo",34,"sorbiamo","sorb","-","sorbisca",4,"sorbiska","sorbisk","k",1,0
"279","sostituire","sostituisco",383,"sostituisko","sostituisk","sostitu","k","ire","sostitu","-","sostituisce",18714,"sostituiSSe","sostituiSS","-","sostituiamo",336,"sostituiamo","sostitu","-","sostituisca",1607,"sostituiska","sostituisk","k",1,0
"280","sovvertire","sovverto",4,"sovverto","sovvert","sovvert","-","ire","sovvert","-","sovverte",387,"sovverte","sovvert","-","sovvertiamo",6,"sovvertiamo","sovvert","-","sovverta",33,"sovverta","sovvert","-",0,1
"281","sparire","sparisco",148,"sparisko","sparisk","spar","k","ire","spar","-","sparisce",3934,"spariSSe","spariSS","-","spariamo",338,"spariamo","spar","-","sparisca",636,"spariska","sparisk","k",1,0
"282","spartire","spartisco",6,"spartisko","spartisk","spart","k","ire","spart","-","spartisce",178,"spartiSSe","spartiSS","-","spartiamo",19,"spartiamo","spart","-","spartisca",6,"spartiska","spartisk","k",1,0
"283","spazientire","spazientisco",10,"spazientisko","spazientisk","spazient","k","ire","spazient","-","spazientisce",112,"spazientiSSe","spazientiSS","-","spazientiamo",3,"spazientiamo","spazient","-","spazientisca",8,"spazientiska","spazientisk","k",1,0
"284","spedire","spedisco",1211,"spedisko","spedisk","sped","k","ire","sped","-","spedisce",2517,"spediSSe","spediSS","-","spediamo",230,"spediamo","sped","-","spedisca",207,"spediska","spedisk","k",1,0
"285","stabilire","stabilisco",203,"stabilisko","stabilisk","stabil","k","ire","stabil","-","stabilisce",67751,"stabiliSSe","stabiliSS","-","stabiliamo",575,"stabiliamo","stabil","-","stabilisca",3001,"stabiliska","stabilisk","k",1,0
"286","stordire","stordisco",20,"stordisko","stordisk","stord","k","ire","stord","-","stordisce",497,"stordiSSe","stordiSS","-","stordiamo",6,"stordiamo","stord","-","stordisca",6,"stordiska","stordisk","k",1,0
"287","stupire","stupisco",1533,"stupisko","stupisk","stup","k","ire","stup","-","stupisce",8520,"stupiSSe","stupiSS","-","stupiamo",336,"stupiamo","stup","-","stupisca",323,"stupiska","stupisk","k",1,0
"288","subire","subisco",337,"subisko","subisk","sub","k","ire","sub","-","subisce",14516,"subiSSe","subiSS","-","subiamo",780,"subiamo","sub","-","subisca",1554,"subiska","subisk","k",1,0
"289","suggerire","suggerisco",2478,"suddGerisko","suddGerisk","suddGer","k","ire","suddGer","-","suggerisce",23008,"suddGeriSSe","suddGeriSS","-","suggeriamo",1533,"suddGeriamo","suddGer","-","suggerisca",522,"suddGeriska","suddGerisk","k",1,0
"290","supplire","supplisco",19,"supplisko","supplisk","suppl","k","ire","suppl","-","supplisce",558,"suppliSSe","suppliSS","-","suppliamo",3,"suppliamo","suppl","-","supplisca",96,"suppliska","supplisk","k",1,0
"291","svanire","svanisco",15,"svanisko","svanisk","svan","k","ire","svan","-","svanisce",2532,"svaniSSe","svaniSS","-","svaniamo",7,"svaniamo","svan","-","svanisca",229,"svaniska","svanisk","k",1,0
"292","svenire","svengo",198,"svengo","sveng","sveng","ng","ire","sven","-","sviene",652,"sviene","svien","-","sveniamo",13,"sveniamo","sven","-","svenga",12,"svenga","sveng","ng",1,0
"293","svestire","svesto",29,"svesto","svest","svest","-","ire","svest","-","sveste",120,"sveste","svest","-","svestiamo",6,"svestiamo","svest","-","svesta",6,"svesta","svest","-",0,1
"294","svilire","svilisco",5,"svilisko","svilisk","svil","k","ire","svil","-","svilisce",519,"sviliSSe","sviliSS","-","sviliamo",5,"sviliamo","svil","-","svilisca",53,"sviliska","svilisk","k",1,0
"295","tradire","tradisco",198,"tradisko","tradisk","trad","k","ire","trad","-","tradisce",4745,"tradiSSe","tradiSS","-","tradiamo",73,"tradiamo","trad","-","tradisca",377,"tradiska","tradisk","k",1,0
"296","trasferire","trasferisco",432,"trasferisko","trasferisk","trasfer","k","ire","trasfer","-","trasferisce",10649,"trasferiSSe","trasferiSS","-","trasferiamo",494,"trasferiamo","trasfer","-","trasferisca",670,"trasferiska","trasferisk","k",1,0
"297","trasgredire","trasgredisco",18,"trasgredisko","trasgredisk","trasgred","k","ire","trasgred","-","trasgredisce",572,"trasgrediSSe","trasgrediSS","-","trasgrediamo",19,"trasgrediamo","trasgred","-","trasgredisca",119,"trasgrediska","trasgredisk","k",1,0
"298","travestire","travesto",61,"travesto","travest","travest","-","ire","travest","-","traveste",638,"traveste","travest","-","travestiamo",21,"travestiamo","travest","-","travesta",26,"travesta","travest","-",0,1
"299","ubbidire","ubbidisco",50,"ubbidisko","ubbidisk","ubbid","k","ire","ubbid","-","ubbidisce",573,"ubbidiSSe","ubbidiSS","-","ubbidiamo",25,"ubbidiamo","ubbid","-","ubbidisca",53,"ubbidiska","ubbidisk","k",1,0
"300","udire","odo",884,"odo","od","od","-","ire","ud","-","ode",2216,"ode","od","-","udiamo",245,"udiamo","ud","-","oda",345,"oda","od","-",0,0
"301","unire","unisco",1786,"unisko","unisk","un","k","ire","un","-","unisce",20192,"uniSSe","uniSS","-","uniamo",999,"uniamo","un","-","unisca",1231,"uniska","unisk","k",1,0
"302","uscire","esco",5849,"esko","esk","esk","k","ire","uSS","-","esce",54515,"eSSe","eSS","-","usciamo",3300,"uSSamo","uSS","-","esca",3251,"eska","esk","k",1,0
"303","usufruire","usufruisco",183,"usufruisko","usufruisk","usufru","k","ire","usufru","-","usufruisce",2390,"usufruiSSe","usufruiSS","-","usufruiamo",81,"usufruiamo","usufru","-","usufruisca",465,"usufruiska","usufruisk","k",1,0
"304","venire","vengo",11603,"vengo","veng","veng","ng","ire","ven","-","viene",160496,"viene","vien","-","veniamo",8533,"veniamo","ven","-","venga",25776,"venga","veng","ng",1,0
"305","venire","vengo",11603,"vengo","veng","veng","ng","ire","ven","-","viene",160496,"viene","vien","-","veniamo",8533,"veniamo","ven","-","venga",3,"venga","veng","ng",1,0
"306","vestire","vesto",1066,"vesto","vest","vest","-","ire","vest","-","veste",3430,"veste","vest","-","vestiamo",243,"vestiamo","vest","-","vesta",520,"vesta","vest","-",0,1
"307","zittire","zittisco",17,"zittisko","zittisk","zitt","k","ire","zitt","-","zittisce",324,"zittiSSe","zittiSS","-","zittiamo",6,"zittiamo","zitt","-","zittisca",20,"zittiska","zittisk","k",1,0
