"","lemma_morphit","form_1ps_ind","formfreq_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","fonroot_noinc_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","formfreq_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","formfreq_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","formfreq_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf"
"36","autodefinire","autodefinisco",20,"autodefinisko","autodefinisk","autodefin","k","ire","autodefin","-","autodefinisce",628,"autodefiniSSe","autodefiniSS","-","autodefiniamo",6,"autodefiniamo","autodefin","-","autodefinisca",20,"autodefiniska","autodefinisk","k",1,0
"37","avvertire","avverto",3135,"avverto","avvert","avvert","-","ire","avvert","-","avverte",34373,"avverte","avvert","-","avvertiamo",1716,"avvertiamo","avvert","-","avverta",905,"avverta","avvert","-",0,1
"38","avvilire","avvilisco",22,"avvilisko","avvilisk","avvil","k","ire","avvil","-","avvilisce",320,"avviliSSe","avviliSS","-","avviliamo",3,"avviliamo","avvil","-","avvilisca",22,"avviliska","avvilisk","k",1,0
"39","bandire","bandisco",11,"bandisko","bandisk","band","k","ire","band","-","bandisce",1937,"bandiSSe","bandiSS","-","bandiamo",15,"bandiamo","band","-","bandisca",113,"bandiska","bandisk","k",1,0
"40","benedire","benedico",494,"benediko","benedik","benedik","k","ire","bened","-","benedice",1187,"beneditSe","beneditS","tS","benediciamo",259,"beneditSamo","bened","-","benedica",1811,"benedika","benedik","k",1,0
"41","bollire","bollo",243,"bollo","boll","boll","-","ire","boll","-","bolle",465,"bolle","boll","-","bolliamo",20,"bolliamo","boll","-","bolla",936,"bolla","boll","-",0,1
"42","bramire","bramo",386,"bramo","bram","bram","-","ire","bram","-","brame",7,"brame","bram","-","bramiamo",61,"bramiamo","bram","-","brama",414,"brama","bram","-",0,1
"43","brandire","brandisco",7,"brandisko","brandisk","brand","k","ire","brand","-","brandisce",301,"brandiSSe","brandiSS","-","brandiamo",7,"brandiamo","brand","-","brandisca",17,"brandiska","brandisk","k",1,0
"44","capire","capisco",43597,"kapisko","kapisk","kap","k","ire","kap","-","capisce",40684,"kapiSSe","kapiSS","-","capiamo",3677,"kapiamo","kap","-","capisca",3718,"kapiska","kapisk","k",1,0
"45","carpire","carpisco",11,"karpisko","karpisk","karp","k","ire","karp","-","carpisce",105,"karpiSSe","karpiSS","-","carpiamo",5,"karpiamo","karp","-","carpisca",10,"karpiska","karpisk","k",1,0
"46","chiarire","chiarisco",445,"kiarisko","kiarisk","kiar","k","ire","kiar","-","chiarisce",11257,"kiariSSe","kiariSS","-","chiariamo",504,"kiariamo","kiar","-","chiarisca",2392,"kiariska","kiarisk","k",1,0
"47","colpire","colpisco",183,"kolpisko","kolpisk","kolp","k","ire","kolp","-","colpisce",30031,"kolpiSSe","kolpiSS","-","colpiamo",74,"kolpiamo","kolp","-","colpisca",1070,"kolpiska","kolpisk","k",1,0
"48","comparire","compaio",96,"kompaio","kompai","kompai","-","ire","kompar","-","compare",24095,"kompare","kompar","-","compariamo",73,"kompariamo","kompar","-","compaia",1282,"kompaia","kompai","-",1,0
"49","compatire","compatisco",175,"kompatisko","kompatisk","kompat","k","ire","kompat","-","compatisce",89,"kompatiSSe","kompatiSS","-","compatiamo",19,"kompatiamo","kompat","-","compatisca",33,"kompatiska","kompatisk","k",1,0
"50","concepire","concepisco",412,"kontSepisko","kontSepisk","kontSep","k","ire","kontSep","-","concepisce",2526,"kontSepiSSe","kontSepiSS","-","concepiamo",340,"kontSepiamo","kontSep","-","concepisca",172,"kontSepiska","kontSepisk","k",1,0
"51","condire","condisco",49,"kondisko","kondisk","kond","k","ire","kond","-","condisce",292,"kondiSSe","kondiSS","-","condiamo",27,"kondiamo","kond","-","condisca",14,"kondiska","kondisk","k",1,0
"52","conferire","conferisco",44,"konferisko","konferisk","konfer","k","ire","konfer","-","conferisce",12756,"konferiSSe","konferiSS","-","conferiamo",69,"konferiamo","konfer","-","conferisca",1265,"konferiska","konferisk","k",1,0
"53","confluire","confluisco",5,"konfluisko","konfluisk","konflu","k","ire","konflu","-","confluisce",1327,"konfluiSSe","konfluiSS","-","confluiamo",4,"konfluiamo","konflu","-","confluisca",96,"konfluiska","konfluisk","k",1,0
"54","conseguire","conseguo",47,"konseguo","konsegu","konsegu","-","ire","konsegu","-","consegue",24114,"konsegue","konsegu","-","conseguiamo",23,"konseguiamo","konsegu","-","consegua",1575,"konsegua","konsegu","-",0,1
"55","consentire","consento",363,"konsento","konsent","konsent","-","ire","konsent","-","consente",132407,"konsente","konsent","-","consentiamo",253,"konsentiamo","konsent","-","consenta",24850,"konsenta","konsent","-",0,1
"56","contraddire","contraddico",232,"kontraddiko","kontraddik","kontraddik","k","ire","kontradd","-","contraddice",3301,"kontradditSe","kontradditS","tS","contraddiciamo",17,"kontradditSamo","kontradd","-","contraddica",362,"kontraddika","kontraddik","k",1,0
"57","contravvenire","contravvengo",11,"kontravvengo","kontravveng","kontravveng","ng","ire","kontravven","-","contravviene",792,"kontravviene","kontravvien","-","contravveniamo",6,"kontravveniamo","kontravven","-","contravvenga",292,"kontravvenga","kontravveng","ng",1,0
"58","contribuire","contribuisco",171,"kontribuisko","kontribuisk","kontribu","k","ire","kontribu","-","contribuisce",19667,"kontribuiSSe","kontribuiSS","-","contribuiamo",309,"kontribuiamo","kontribu","-","contribuisca",2479,"kontribuiska","kontribuisk","k",1,0
