"","lemma_morphit","form_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf","fonroot_noinc_1ps_ind"
"2755","pasteggiare","pasteggio","pasteddGo","pasteddG","dG","are","pasteddG","dG","pasteggia","pasteddGa","pasteddG","dG","pasteggiamo","pasteddGamo","pasteddG","dG","pasteggi","pasteddGi","pasteddG","dG",0,1,"-"
"2756","pasticciare","pasticcio","pastittSo","pastittS","tS","are","pastittS","tS","pasticcia","pastittSa","pastittS","tS","pasticciamo","pastittSamo","pastittS","tS","pasticci","pastittSi","pastittS","tS",0,1,"-"
"2757","pastorizzare","pastorizzo","pastorizzo","pastorizz","-","are","pastorizz","-","pastorizza","pastorizza","pastorizz","-","pastorizziamo","pastorizziamo","pastorizz","-","pastorizzi","pastorizzi","pastorizz","-",0,1,"-"
"2758","pasturare","pasturo","pasturo","pastur","-","are","pastur","-","pastura","pastura","pastur","-","pasturiamo","pasturiamo","pastur","-","pasturi","pasturi","pastur","-",0,1,"-"
"2759","patinare","patino","patino","patin","-","are","patin","-","patina","patina","patin","-","patiniamo","patiniamo","patin","-","patini","patini","patin","-",0,1,"-"
"2760","patrocinare","patrocino","patrotSino","patrotSin","-","are","patrotSin","-","patrocina","patrotSina","patrotSin","-","patrociniamo","patrotSiniamo","patrotSin","-","patrocini","patrotSini","patrotSin","-",0,1,"-"
"2761","patteggiare","patteggio","patteddGo","patteddG","dG","are","patteddG","dG","patteggia","patteddGa","patteddG","dG","patteggiamo","patteddGamo","patteddG","dG","patteggi","patteddGi","patteddG","dG",0,1,"-"
"2762","pattinare","pattino","pattino","pattin","-","are","pattin","-","pattina","pattina","pattin","-","pattiniamo","pattiniamo","pattin","-","pattini","pattini","pattin","-",0,1,"-"
"2763","pattugliare","pattuglio","pattuLLo","pattuLL","LL","are","pattuLL","LL","pattuglia","pattuLLa","pattuLL","LL","pattugliamo","pattuLLamo","pattuLL","LL","pattugli","pattuLLi","pattuLL","LL",0,1,"-"
"2764","paventare","pavento","pavento","pavent","-","are","pavent","-","paventa","paventa","pavent","-","paventiamo","paventiamo","pavent","-","paventi","paventi","pavent","-",0,1,"-"
"2765","pavesare","paveso","paveso","paves","-","are","paves","-","pavesa","pavesa","paves","-","pavesiamo","pavesiamo","paves","-","pavesi","pavesi","paves","-",0,1,"-"
"2766","pavimentare","pavimento","pavimento","paviment","-","are","paviment","-","pavimenta","pavimenta","paviment","-","pavimentiamo","pavimentiamo","paviment","-","pavimenti","pavimenti","paviment","-",0,1,"-"
"2767","pavoneggiare","pavoneggio","pavoneddGo","pavoneddG","dG","are","pavoneddG","dG","pavoneggia","pavoneddGa","pavoneddG","dG","pavoneggiamo","pavoneddGamo","pavoneddG","dG","pavoneggi","pavoneddGi","pavoneddG","dG",0,1,"-"
"2768","pazientare","paziento","paziento","pazient","-","are","pazient","-","pazienta","pazienta","pazient","-","pazientiamo","pazientiamo","pazient","-","pazienti","pazienti","pazient","-",0,1,"-"
"2769","pazzeggiare","pazzeggio","pazzeddGo","pazzeddG","dG","are","pazzeddG","dG","pazzeggia","pazzeddGa","pazzeddG","dG","pazzeggiamo","pazzeddGamo","pazzeddG","dG","pazzeggi","pazzeddGi","pazzeddG","dG",0,1,"-"
"2770","peccare","pecco","pekko","pekk","k","are","pekk","k","pecca","pekka","pekk","k","pecchiamo","pekkiamo","pekk","k","pecchi","pekki","pekk","k",0,1,"-"
"2771","pedalare","pedalo","pedalo","pedal","-","are","pedal","-","pedala","pedala","pedal","-","pedaliamo","pedaliamo","pedal","-","pedali","pedali","pedal","-",0,1,"-"
"2772","pedanteggiare","pedanteggio","pedanteddGo","pedanteddG","dG","are","pedanteddG","dG","pedanteggia","pedanteddGa","pedanteddG","dG","pedanteggiamo","pedanteddGamo","pedanteddG","dG","pedanteggi","pedanteddGi","pedanteddG","dG",0,1,"-"
"2773","pedinare","pedino","pedino","pedin","-","are","pedin","-","pedina","pedina","pedin","-","pediniamo","pediniamo","pedin","-","pedini","pedini","pedin","-",0,1,"-"
"2774","pedonalizzare","pedonalizzo","pedonalizzo","pedonalizz","-","are","pedonalizz","-","pedonalizza","pedonalizza","pedonalizz","-","pedonalizziamo","pedonalizziamo","pedonalizz","-","pedonalizzi","pedonalizzi","pedonalizz","-",0,1,"-"
"2775","peggiorare","peggioro","peddGoro","peddGor","-","are","peddGor","-","peggiora","peddGora","peddGor","-","peggioriamo","peddGoriamo","peddGor","-","peggiori","peddGori","peddGor","-",0,1,"-"
"2776","pelare","pelo","pelo","pel","-","are","pel","-","pela","pela","pel","-","peliamo","peliamo","pel","-","peli","peli","pel","-",0,1,"-"
"2777","pellegrinare","pellegrino","pellegrino","pellegrin","-","are","pellegrin","-","pellegrina","pellegrina","pellegrin","-","pellegriniamo","pellegriniamo","pellegrin","-","pellegrini","pellegrini","pellegrin","-",0,1,"-"
"2778","penalizzare","penalizzo","penalizzo","penalizz","-","are","penalizz","-","penalizza","penalizza","penalizz","-","penalizziamo","penalizziamo","penalizz","-","penalizzi","penalizzi","penalizz","-",0,1,"-"
"2779","penare","peno","peno","pen","-","are","pen","-","pena","pena","pen","-","peniamo","peniamo","pen","-","peni","peni","pen","-",0,1,"-"
"2780","pencolare","pencolo","penkolo","penkol","-","are","penkol","-","pencola","penkola","penkol","-","pencoliamo","penkoliamo","penkol","-","pencoli","penkoli","penkol","-",0,1,"-"
"2781","pendolare","pendolo","pendolo","pendol","-","are","pendol","-","pendola","pendola","pendol","-","pendoliamo","pendoliamo","pendol","-","pendoli","pendoli","pendol","-",0,1,"-"
"2782","penetrare","penetro","penetro","penetr","-","are","penetr","-","penetra","penetra","penetr","-","penetriamo","penetriamo","penetr","-","penetri","penetri","penetr","-",0,1,"-"
"2783","pennellare","pennello","pennello","pennell","-","are","pennell","-","pennella","pennella","pennell","-","pennelliamo","pennelliamo","pennell","-","pennelli","pennelli","pennell","-",0,1,"-"
