"","lemma_morphit","form_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf","fonroot_noinc_1ps_ind"
"1434","diserbare","diserbo","diserbo","diserb","-","are","diserb","-","diserba","diserba","diserb","-","diserbiamo","diserbiamo","diserb","-","diserbi","diserbi","diserb","-",0,1,"-"
"1435","diseredare","diseredo","diseredo","disered","-","are","disered","-","disereda","disereda","disered","-","diserediamo","diserediamo","disered","-","diseredi","diseredi","disered","-",0,1,"-"
"1436","disertare","diserto","diserto","disert","-","are","disert","-","diserta","diserta","disert","-","disertiamo","disertiamo","disert","-","diserti","diserti","disert","-",0,1,"-"
"1437","disfare","disfaccio","disfattSo","disfattS","tS","are","disf","-","disfa","disfa","disf","-","disfacciamo","disfattSamo","disf","-","disfi","disfi","disf","-",0,0,"-"
"1438","disfare","disfaccio","disfattSo","disfattS","tS","are","disf","-","disfa","disfa","disf","-","disfacciamo","disfattSamo","disf","-","disfaccia","disfattSa","disfattS","tS",1,0,"-"
"1439","disfare","disfaccio","disfattSo","disfattS","tS","are","disf","-","disfa","disfa","disf","-","disfiamo","disfiamo","disf","-","disfi","disfi","disf","-",0,0,"-"
"1440","disfare","disfaccio","disfattSo","disfattS","tS","are","disf","-","disfa","disfa","disf","-","disfiamo","disfiamo","disf","-","disfaccia","disfattSa","disfattS","tS",1,0,"-"
"1441","disfare","disfo","disfo","disf","-","are","disf","-","disfa","disfa","disf","-","disfacciamo","disfattSamo","disf","-","disfi","disfi","disf","-",0,1,"-"
"1442","disfare","disfo","disfo","disf","-","are","disf","-","disfa","disfa","disf","-","disfacciamo","disfattSamo","disf","-","disfaccia","disfattSa","disfattS","tS",0,1,"-"
"1443","disfare","disfo","disfo","disf","-","are","disf","-","disfa","disfa","disf","-","disfiamo","disfiamo","disf","-","disfi","disfi","disf","-",0,1,"-"
"1444","disfare","disfo","disfo","disf","-","are","disf","-","disfa","disfa","disf","-","disfiamo","disfiamo","disf","-","disfaccia","disfattSa","disfattS","tS",0,1,"-"
"1445","disfidare","disfido","disfido","disfid","-","are","disfid","-","disfida","disfida","disfid","-","disfidiamo","disfidiamo","disfid","-","disfidi","disfidi","disfid","-",0,1,"-"
"1446","disgelare","disgelo","disdGelo","disdGel","-","are","disdGel","-","disgela","disdGela","disdGel","-","disgeliamo","disdGeliamo","disdGel","-","disgeli","disdGeli","disdGel","-",0,1,"-"
"1447","disgregare","disgrego","disgrego","disgreg","g","are","disgreg","g","disgrega","disgrega","disgreg","g","disgreghiamo","disgregiamo","disgreg","g","disgreghi","disgregi","disgreg","g",0,1,"-"
"1448","disgustare","disgusto","disgusto","disgust","-","are","disgust","-","disgusta","disgusta","disgust","-","disgustiamo","disgustiamo","disgust","-","disgusti","disgusti","disgust","-",0,1,"-"
"1449","disidratare","disidrato","disidrato","disidrat","-","are","disidrat","-","disidrata","disidrata","disidrat","-","disidratiamo","disidratiamo","disidrat","-","disidrati","disidrati","disidrat","-",0,1,"-"
"1450","disimparare","disimparo","disimparo","disimpar","-","are","disimpar","-","disimpara","disimpara","disimpar","-","disimpariamo","disimpariamo","disimpar","-","disimpari","disimpari","disimpar","-",0,1,"-"
"1451","disimpegnare","disimpegno","disimpeNNo","disimpeNN","NN","are","disimpeNN","NN","disimpegna","disimpeNNa","disimpeNN","NN","disimpegniamo","disimpeNNiamo","disimpeNN","NN","disimpegni","disimpeNNi","disimpeNN","NN",0,1,"-"
"1452","disincagliare","disincaglio","disinkaLLo","disinkaLL","LL","are","disinkaLL","LL","disincaglia","disinkaLLa","disinkaLL","LL","disincagliamo","disinkaLLamo","disinkaLL","LL","disincagli","disinkaLLi","disinkaLL","LL",0,1,"-"
"1453","disincantare","disincanto","disinkanto","disinkant","-","are","disinkant","-","disincanta","disinkanta","disinkant","-","disincantiamo","disinkantiamo","disinkant","-","disincanti","disinkanti","disinkant","-",0,1,"-"
"1454","disincentivare","disincentivo","disintSentivo","disintSentiv","-","are","disintSentiv","-","disincentiva","disintSentiva","disintSentiv","-","disincentiviamo","disintSentiviamo","disintSentiv","-","disincentivi","disintSentivi","disintSentiv","-",0,1,"-"
"1455","disincrostare","disincrosto","disinkrosto","disinkrost","-","are","disinkrost","-","disincrosta","disinkrosta","disinkrost","-","disincrostiamo","disinkrostiamo","disinkrost","-","disincrosti","disinkrosti","disinkrost","-",0,1,"-"
"1456","disindustrializzare","disindustrializzo","disindustrializzo","disindustrializz","-","are","disindustrializz","-","disindustrializza","disindustrializza","disindustrializz","-","disindustrializziamo","disindustrializziamo","disindustrializz","-","disindustrializzi","disindustrializzi","disindustrializz","-",0,1,"-"
"1457","disinfestare","disinfesto","disinfesto","disinfest","-","are","disinfest","-","disinfesta","disinfesta","disinfest","-","disinfestiamo","disinfestiamo","disinfest","-","disinfesti","disinfesti","disinfest","-",0,1,"-"
"1458","disinfettare","disinfetto","disinfetto","disinfett","-","are","disinfett","-","disinfetta","disinfetta","disinfett","-","disinfettiamo","disinfettiamo","disinfett","-","disinfetti","disinfetti","disinfett","-",0,1,"-"
"1459","disinfiammare","disinfiammo","disinfiammo","disinfiamm","-","are","disinfiamm","-","disinfiamma","disinfiamma","disinfiamm","-","disinfiammiamo","disinfiammiamo","disinfiamm","-","disinfiammi","disinfiammi","disinfiamm","-",0,1,"-"
"1460","disinformare","disinformo","disinformo","disinform","-","are","disinform","-","disinforma","disinforma","disinform","-","disinformiamo","disinformiamo","disinform","-","disinformi","disinformi","disinform","-",0,1,"-"
"1461","disingannare","disinganno","disinganno","disingann","-","are","disingann","-","disinganna","disinganna","disingann","-","disinganniamo","disinganniamo","disingann","-","disinganni","disinganni","disingann","-",0,1,"-"
"1462","disinnescare","disinnesco","disinnesko","disinnesk","k","are","disinnesk","k","disinnesca","disinneska","disinnesk","k","disinneschiamo","disinneskiamo","disinnesk","k","disinneschi","disinneski","disinnesk","k",0,1,"-"
"1463","disinnestare","disinnesto","disinnesto","disinnest","-","are","disinnest","-","disinnesta","disinnesta","disinnest","-","disinnestiamo","disinnestiamo","disinnest","-","disinnesti","disinnesti","disinnest","-",0,1,"-"
"1464","disinquadrare","disinquadro","disinquadro","disinquadr","-","are","disinquadr","-","disinquadra","disinquadra","disinquadr","-","disinquadriamo","disinquadriamo","disinquadr","-","disinquadri","disinquadri","disinquadr","-",0,1,"-"
"1465","disinquinare","disinquino","disinquino","disinquin","-","are","disinquin","-","disinquina","disinquina","disinquin","-","disinquiniamo","disinquiniamo","disinquin","-","disinquini","disinquini","disinquin","-",0,1,"-"
"1466","disintasare","disintaso","disintaso","disintas","-","are","disintas","-","disintasa","disintasa","disintas","-","disintasiamo","disintasiamo","disintas","-","disintasi","disintasi","disintas","-",0,1,"-"
"1467","disintegrare","disintegro","disintegro","disintegr","-","are","disintegr","-","disintegra","disintegra","disintegr","-","disintegriamo","disintegriamo","disintegr","-","disintegri","disintegri","disintegr","-",0,1,"-"
"1468","disinteressare","disinteresso","disinteresso","disinteress","-","are","disinteress","-","disinteressa","disinteressa","disinteress","-","disinteressiamo","disinteressiamo","disinteress","-","disinteressi","disinteressi","disinteress","-",0,1,"-"
"1469","disintossicare","disintossico","disintossiko","disintossik","k","are","disintossik","k","disintossica","disintossika","disintossik","k","disintossichiamo","disintossikiamo","disintossik","k","disintossichi","disintossiki","disintossik","k",0,1,"-"
"1470","disistimare","disistimo","disistimo","disistim","-","are","disistim","-","disistima","disistima","disistim","-","disistimiamo","disistimiamo","disistim","-","disistimi","disistimi","disistim","-",0,1,"-"
"1471","dislocare","disloco","disloko","dislok","k","are","dislok","k","disloca","disloka","dislok","k","dislochiamo","dislokiamo","dislok","k","dislochi","disloki","dislok","k",0,1,"-"
"1472","disobbligare","disobbligo","disobbligo","disobblig","g","are","disobblig","g","disobbliga","disobbliga","disobblig","g","disobblighiamo","disobbligiamo","disobblig","g","disobblighi","disobbligi","disobblig","g",0,1,"-"
"1473","disoccupare","disoccupo","disokkupo","disokkup","-","are","disokkup","-","disoccupa","disokkupa","disokkup","-","disoccupiamo","disokkupiamo","disokkup","-","disoccupi","disokkupi","disokkup","-",0,1,"-"
"1474","disonorare","disonoro","disonoro","disonor","-","are","disonor","-","disonora","disonora","disonor","-","disonoriamo","disonoriamo","disonor","-","disonori","disonori","disonor","-",0,1,"-"
"1475","disordinare","disordino","disordino","disordin","-","are","disordin","-","disordina","disordina","disordin","-","disordiniamo","disordiniamo","disordin","-","disordini","disordini","disordin","-",0,1,"-"
"1476","disorganizzare","disorganizzo","disorganizzo","disorganizz","-","are","disorganizz","-","disorganizza","disorganizza","disorganizz","-","disorganizziamo","disorganizziamo","disorganizz","-","disorganizzi","disorganizzi","disorganizz","-",0,1,"-"
"1477","disorientare","disoriento","disoriento","disorient","-","are","disorient","-","disorienta","disorienta","disorient","-","disorientiamo","disorientiamo","disorient","-","disorienti","disorienti","disorient","-",0,1,"-"
"1478","disossare","disosso","disosso","disoss","-","are","disoss","-","disossa","disossa","disoss","-","disossiamo","disossiamo","disoss","-","disossi","disossi","disoss","-",0,1,"-"
"1479","dispensare","dispenso","dispenso","dispens","-","are","dispens","-","dispensa","dispensa","dispens","-","dispensiamo","dispensiamo","dispens","-","dispensi","dispensi","dispens","-",0,1,"-"
"1480","disperare","dispero","dispero","disper","-","are","disper","-","dispera","dispera","disper","-","disperiamo","disperiamo","disper","-","disperi","disperi","disper","-",0,1,"-"
"1481","dispiegare","dispiego","dispiego","dispieg","g","are","dispieg","g","dispiega","dispiega","dispieg","g","dispieghiamo","dispiegiamo","dispieg","g","dispieghi","dispiegi","dispieg","g",0,1,"-"
"1482","dispregiare","dispregio","dispredGo","dispredG","dG","are","dispredG","dG","dispregia","dispredGa","dispredG","dG","dispregiamo","dispredGamo","dispredG","dG","dispregi","dispredGi","dispredG","dG",0,1,"-"
"1483","disprezzare","disprezzo","disprezzo","disprezz","-","are","disprezz","-","disprezza","disprezza","disprezz","-","disprezziamo","disprezziamo","disprezz","-","disprezzi","disprezzi","disprezz","-",0,1,"-"
"1484","disputare","disputo","disputo","disput","-","are","disput","-","disputa","disputa","disput","-","disputiamo","disputiamo","disput","-","disputi","disputi","disput","-",0,1,"-"
"1485","dissacrare","dissacro","dissakro","dissakr","-","are","dissakr","-","dissacra","dissakra","dissakr","-","dissacriamo","dissakriamo","dissakr","-","dissacri","dissakri","dissakr","-",0,1,"-"
"1486","dissalare","dissalo","dissalo","dissal","-","are","dissal","-","dissala","dissala","dissal","-","dissaliamo","dissaliamo","dissal","-","dissali","dissali","dissal","-",0,1,"-"
"1487","dissaldare","dissaldo","dissaldo","dissald","-","are","dissald","-","dissalda","dissalda","dissald","-","dissaldiamo","dissaldiamo","dissald","-","dissaldi","dissaldi","dissald","-",0,1,"-"
"1488","dissanguare","dissanguo","dissanguo","dissangu","-","are","dissangu","-","dissangua","dissangua","dissangu","-","dissanguiamo","dissanguiamo","dissangu","-","dissangui","dissangui","dissangu","-",0,1,"-"
"1489","dissecare","disseco","disseko","dissek","k","are","dissek","k","disseca","disseka","dissek","k","dissechiamo","dissekiamo","dissek","k","dissechi","disseki","dissek","k",0,1,"-"
"1490","disseccare","dissecco","dissekko","dissekk","k","are","dissekk","k","dissecca","dissekka","dissekk","k","dissecchiamo","dissekkiamo","dissekk","k","dissecchi","dissekki","dissekk","k",0,1,"-"
"1491","disselciare","disselcio","disseltSo","disseltS","tS","are","disseltS","tS","disselcia","disseltSa","disseltS","tS","disselciamo","disseltSamo","disseltS","tS","disselci","disseltSi","disseltS","tS",0,1,"-"
"1492","dissellare","dissello","dissello","dissell","-","are","dissell","-","dissella","dissella","dissell","-","disselliamo","disselliamo","dissell","-","disselli","disselli","dissell","-",0,1,"-"
"1493","disseminare","dissemino","dissemino","dissemin","-","are","dissemin","-","dissemina","dissemina","dissemin","-","disseminiamo","disseminiamo","dissemin","-","dissemini","dissemini","dissemin","-",0,1,"-"
"1494","dissequestrare","dissequestro","dissequestro","dissequestr","-","are","dissequestr","-","dissequestra","dissequestra","dissequestr","-","dissequestriamo","dissequestriamo","dissequestr","-","dissequestri","dissequestri","dissequestr","-",0,1,"-"
"1495","disserrare","disserro","disserro","disserr","-","are","disserr","-","disserra","disserra","disserr","-","disserriamo","disserriamo","disserr","-","disserri","disserri","disserr","-",0,1,"-"
"1496","dissertare","disserto","disserto","dissert","-","are","dissert","-","disserta","disserta","dissert","-","dissertiamo","dissertiamo","dissert","-","disserti","disserti","dissert","-",0,1,"-"
"1497","dissestare","dissesto","dissesto","dissest","-","are","dissest","-","dissesta","dissesta","dissest","-","dissestiamo","dissestiamo","dissest","-","dissesti","dissesti","dissest","-",0,1,"-"
"1498","dissetare","disseto","disseto","disset","-","are","disset","-","disseta","disseta","disset","-","dissetiamo","dissetiamo","disset","-","disseti","disseti","disset","-",0,1,"-"
"1499","dissezionare","disseziono","disseziono","dissezion","-","are","dissezion","-","disseziona","disseziona","dissezion","-","dissezioniamo","dissezioniamo","dissezion","-","dissezioni","dissezioni","dissezion","-",0,1,"-"
"1500","dissigillare","dissigillo","dissidGillo","dissidGill","-","are","dissidGill","-","dissigilla","dissidGilla","dissidGill","-","dissigilliamo","dissidGilliamo","dissidGill","-","dissigilli","dissidGilli","dissidGill","-",0,1,"-"
"1501","dissimulare","dissimulo","dissimulo","dissimul","-","are","dissimul","-","dissimula","dissimula","dissimul","-","dissimuliamo","dissimuliamo","dissimul","-","dissimuli","dissimuli","dissimul","-",0,1,"-"
"1502","dissipare","dissipo","dissipo","dissip","-","are","dissip","-","dissipa","dissipa","dissip","-","dissipiamo","dissipiamo","dissip","-","dissipi","dissipi","dissip","-",0,1,"-"
"1503","dissociare","dissocio","dissotSo","dissotS","tS","are","dissotS","tS","dissocia","dissotSa","dissotS","tS","dissociamo","dissotSamo","dissotS","tS","dissoci","dissotSi","dissotS","tS",0,1,"-"
"1504","dissodare","dissodo","dissodo","dissod","-","are","dissod","-","dissoda","dissoda","dissod","-","dissodiamo","dissodiamo","dissod","-","dissodi","dissodi","dissod","-",0,1,"-"
"1505","dissonare","dissono","dissono","disson","-","are","disson","-","dissona","dissona","disson","-","dissoniamo","dissoniamo","disson","-","dissoni","dissoni","disson","-",0,1,"-"
"1506","dissotterrare","dissotterro","dissotterro","dissotterr","-","are","dissotterr","-","dissotterra","dissotterra","dissotterr","-","dissotterriamo","dissotterriamo","dissotterr","-","dissotterri","dissotterri","dissotterr","-",0,1,"-"
"1507","dissuggellare","dissuggello","dissuddGello","dissuddGell","-","are","dissuddGell","-","dissuggella","dissuddGella","dissuddGell","-","dissuggelliamo","dissuddGelliamo","dissuddGell","-","dissuggelli","dissuddGelli","dissuddGell","-",0,1,"-"
"1508","distaccare","distacco","distakko","distakk","k","are","distakk","k","distacca","distakka","distakk","k","distacchiamo","distakkiamo","distakk","k","distacchi","distakki","distakk","k",0,1,"-"
"1509","distanziare","distanzio","distanzio","distanzi","-","are","distanzi","-","distanzia","distanzia","distanzi","-","distanziamo","distanziamo","distanzi","-","distanzi","distanzi","distanz","-",0,1,"-"
"1510","distare","disto","disto","dist","-","are","dist","-","dista","dista","dist","-","distiamo","distiamo","dist","-","disti","disti","dist","-",0,1,"-"
"1511","distillare","distillo","distillo","distill","-","are","distill","-","distilla","distilla","distill","-","distilliamo","distilliamo","distill","-","distilli","distilli","distill","-",0,1,"-"
"1512","distornare","distorno","distorno","distorn","-","are","distorn","-","distorna","distorna","distorn","-","distorniamo","distorniamo","distorn","-","distorni","distorni","distorn","-",0,1,"-"
"1513","districare","districo","distriko","distrik","k","are","distrik","k","districa","distrika","distrik","k","districhiamo","distrikiamo","distrik","k","districhi","distriki","distrik","k",0,1,"-"
"1514","disturbare","disturbo","disturbo","disturb","-","are","disturb","-","disturba","disturba","disturb","-","disturbiamo","disturbiamo","disturb","-","disturbi","disturbi","disturb","-",0,1,"-"
"1515","disumanare","disumano","disumano","disuman","-","are","disuman","-","disumana","disumana","disuman","-","disumaniamo","disumaniamo","disuman","-","disumani","disumani","disuman","-",0,1,"-"
"1516","disusare","disuso","disuso","disus","-","are","disus","-","disusa","disusa","disus","-","disusiamo","disusiamo","disus","-","disusi","disusi","disus","-",0,1,"-"
"1517","disvelare","disvelo","disvelo","disvel","-","are","disvel","-","disvela","disvela","disvel","-","disveliamo","disveliamo","disvel","-","disveli","disveli","disvel","-",0,1,"-"
"1518","diteggiare","diteggio","diteddGo","diteddG","dG","are","diteddG","dG","diteggia","diteddGa","diteddG","dG","diteggiamo","diteddGamo","diteddG","dG","diteggi","diteddGi","diteddG","dG",0,1,"-"
"1519","divagare","divago","divago","divag","g","are","divag","g","divaga","divaga","divag","g","divaghiamo","divagiamo","divag","g","divaghi","divagi","divag","g",0,1,"-"
"1520","divampare","divampo","divampo","divamp","-","are","divamp","-","divampa","divampa","divamp","-","divampiamo","divampiamo","divamp","-","divampi","divampi","divamp","-",0,1,"-"
"1521","divaricare","divarico","divariko","divarik","k","are","divarik","k","divarica","divarika","divarik","k","divarichiamo","divarikiamo","divarik","k","divarichi","divariki","divarik","k",0,1,"-"
"1522","diventare","divento","divento","divent","-","are","divent","-","diventa","diventa","divent","-","diventiamo","diventiamo","divent","-","diventi","diventi","divent","-",0,1,"-"
"1523","diversificare","diversifico","diversifiko","diversifik","k","are","diversifik","k","diversifica","diversifika","diversifik","k","diversifichiamo","diversifikiamo","diversifik","k","diversifichi","diversifiki","diversifik","k",0,1,"-"
"1524","divezzare","divezzo","divezzo","divezz","-","are","divezz","-","divezza","divezza","divezz","-","divezziamo","divezziamo","divezz","-","divezzi","divezzi","divezz","-",0,1,"-"
"1525","divinare","divino","divino","divin","-","are","divin","-","divina","divina","divin","-","diviniamo","diviniamo","divin","-","divini","divini","divin","-",0,1,"-"
"1526","divincolare","divincolo","divinkolo","divinkol","-","are","divinkol","-","divincola","divinkola","divinkol","-","divincoliamo","divinkoliamo","divinkol","-","divincoli","divinkoli","divinkol","-",0,1,"-"
"1527","divinizzare","divinizzo","divinizzo","divinizz","-","are","divinizz","-","divinizza","divinizza","divinizz","-","divinizziamo","divinizziamo","divinizz","-","divinizzi","divinizzi","divinizz","-",0,1,"-"
"1528","divisare","diviso","diviso","divis","-","are","divis","-","divisa","divisa","divis","-","divisiamo","divisiamo","divis","-","divisi","divisi","divis","-",0,1,"-"
"1529","divorare","divoro","divoro","divor","-","are","divor","-","divora","divora","divor","-","divoriamo","divoriamo","divor","-","divori","divori","divor","-",0,1,"-"
"1530","divorziare","divorzio","divorzio","divorzi","-","are","divorzi","-","divorzia","divorzia","divorzi","-","divorziamo","divorziamo","divorzi","-","divorzi","divorzi","divorz","-",0,1,"-"
"1531","divulgare","divulgo","divulgo","divulg","lg","are","divulg","lg","divulga","divulga","divulg","lg","divulghiamo","divulgiamo","divulg","lg","divulghi","divulgi","divulg","lg",0,1,"-"
"1532","docciare","doccio","dottSo","dottS","tS","are","dottS","tS","doccia","dottSa","dottS","tS","docciamo","dottSamo","dottS","tS","docci","dottSi","dottS","tS",0,1,"-"
"1533","documentare","documento","dokumento","dokument","-","are","dokument","-","documenta","dokumenta","dokument","-","documentiamo","dokumentiamo","dokument","-","documenti","dokumenti","dokument","-",0,1,"-"
"1534","dogmatizzare","dogmatizzo","dogmatizzo","dogmatizz","-","are","dogmatizz","-","dogmatizza","dogmatizza","dogmatizz","-","dogmatizziamo","dogmatizziamo","dogmatizz","-","dogmatizzi","dogmatizzi","dogmatizz","-",0,1,"-"
"1535","dolcificare","dolcifico","doltSifiko","doltSifik","k","are","doltSifik","k","dolcifica","doltSifika","doltSifik","k","dolcifichiamo","doltSifikiamo","doltSifik","k","dolcifichi","doltSifiki","doltSifik","k",0,1,"-"
"1536","dolorare","doloro","doloro","dolor","-","are","dolor","-","dolora","dolora","dolor","-","doloriamo","doloriamo","dolor","-","dolori","dolori","dolor","-",0,1,"-"
"1537","domandare","domando","domando","domand","-","are","domand","-","domanda","domanda","domand","-","domandiamo","domandiamo","domand","-","domandi","domandi","domand","-",0,1,"-"
"1538","domare","domo","domo","dom","-","are","dom","-","doma","doma","dom","-","domiamo","domiamo","dom","-","domi","domi","dom","-",0,1,"-"
"1539","domiciliare","domicilio","domitSilio","domitSili","-","are","domitSili","-","domicilia","domitSilia","domitSili","-","domiciliamo","domitSiliamo","domitSili","-","domicili","domitSili","domitSil","-",0,1,"-"
"1540","dominare","domino","domino","domin","-","are","domin","-","domina","domina","domin","-","dominiamo","dominiamo","domin","-","domini","domini","domin","-",0,1,"-"
"1541","donare","dono","dono","don","-","are","don","-","dona","dona","don","-","doniamo","doniamo","don","-","doni","doni","don","-",0,1,"-"
"1542","dondolare","dondolo","dondolo","dondol","-","are","dondol","-","dondola","dondola","dondol","-","dondoliamo","dondoliamo","dondol","-","dondoli","dondoli","dondol","-",0,1,"-"
"1543","doppiare","doppio","doppio","doppi","-","are","doppi","-","doppia","doppia","doppi","-","doppiamo","doppiamo","doppi","-","doppi","doppi","dopp","-",0,1,"-"
"1544","dorare","doro","doro","dor","-","are","dor","-","dora","dora","dor","-","doriamo","doriamo","dor","-","dori","dori","dor","-",0,1,"-"
"1545","dormicchiare","dormicchio","dormikkio","dormikki","-","are","dormikki","-","dormicchia","dormikkia","dormikki","-","dormicchiamo","dormikkiamo","dormikki","-","dormicchi","dormikki","dormikk","k",0,1,"-"
"1546","dosare","doso","doso","dos","-","are","dos","-","dosa","dosa","dos","-","dosiamo","dosiamo","dos","-","dosi","dosi","dos","-",0,1,"-"
"1547","dotare","doto","doto","dot","-","are","dot","-","dota","dota","dot","-","dotiamo","dotiamo","dot","-","doti","doti","dot","-",0,1,"-"
"1548","dottoreggiare","dottoreggio","dottoreddGo","dottoreddG","dG","are","dottoreddG","dG","dottoreggia","dottoreddGa","dottoreddG","dG","dottoreggiamo","dottoreddGamo","dottoreddG","dG","dottoreggi","dottoreddGi","dottoreddG","dG",0,1,"-"
"1549","dragare","drago","drago","drag","g","are","drag","g","draga","draga","drag","g","draghiamo","dragiamo","drag","g","draghi","dragi","drag","g",0,1,"-"
"1550","drammatizzare","drammatizzo","drammatizzo","drammatizz","-","are","drammatizz","-","drammatizza","drammatizza","drammatizz","-","drammatizziamo","drammatizziamo","drammatizz","-","drammatizzi","drammatizzi","drammatizz","-",0,1,"-"
"1551","drappeggiare","drappeggio","drappeddGo","drappeddG","dG","are","drappeddG","dG","drappeggia","drappeddGa","drappeddG","dG","drappeggiamo","drappeddGamo","drappeddG","dG","drappeggi","drappeddGi","drappeddG","dG",0,1,"-"
"1552","drenare","dreno","dreno","dren","-","are","dren","-","drena","drena","dren","-","dreniamo","dreniamo","dren","-","dreni","dreni","dren","-",0,1,"-"
"1553","dribblare","dribblo","dribblo","dribbl","-","are","dribbl","-","dribbla","dribbla","dribbl","-","dribbliamo","dribbliamo","dribbl","-","dribbli","dribbli","dribbl","-",0,1,"-"
"1554","drizzare","drizzo","drizzo","drizz","-","are","drizz","-","drizza","drizza","drizz","-","drizziamo","drizziamo","drizz","-","drizzi","drizzi","drizz","-",0,1,"-"
"1555","drogare","drogo","drogo","drog","g","are","drog","g","droga","droga","drog","g","droghiamo","drogiamo","drog","g","droghi","drogi","drog","g",0,1,"-"
"1556","dubitare","dubito","dubito","dubit","-","are","dubit","-","dubita","dubita","dubit","-","dubitiamo","dubitiamo","dubit","-","dubiti","dubiti","dubit","-",0,1,"-"
"1557","duellare","duello","duello","duell","-","are","duell","-","duella","duella","duell","-","duelliamo","duelliamo","duell","-","duelli","duelli","duell","-",0,1,"-"
"1558","duplicare","duplico","dupliko","duplik","k","are","duplik","k","duplica","duplika","duplik","k","duplichiamo","duplikiamo","duplik","k","duplichi","dupliki","duplik","k",0,1,"-"
"1559","durare","duro","duro","dur","-","are","dur","-","dura","dura","dur","-","duriamo","duriamo","dur","-","duri","duri","dur","-",0,1,"-"
"1560","eccettuare","eccettuo","ettSettuo","ettSettu","-","are","ettSettu","-","eccettua","ettSettua","ettSettu","-","eccettuiamo","ettSettuiamo","ettSettu","-","eccettui","ettSettui","ettSettu","-",0,1,"-"
"1561","eccitare","eccito","ettSito","ettSit","-","are","ettSit","-","eccita","ettSita","ettSit","-","eccitiamo","ettSitiamo","ettSit","-","ecciti","ettSiti","ettSit","-",0,1,"-"
"1562","echeggiare","echeggio","ekeddGo","ekeddG","dG","are","ekeddG","dG","echeggia","ekeddGa","ekeddG","dG","echeggiamo","ekeddGamo","ekeddG","dG","echeggi","ekeddGi","ekeddG","dG",0,1,"-"
"1563","eclissare","eclisso","eklisso","ekliss","-","are","ekliss","-","eclissa","eklissa","ekliss","-","eclissiamo","eklissiamo","ekliss","-","eclissi","eklissi","ekliss","-",0,1,"-"
"1564","economizzare","economizzo","ekonomizzo","ekonomizz","-","are","ekonomizz","-","economizza","ekonomizza","ekonomizz","-","economizziamo","ekonomizziamo","ekonomizz","-","economizzi","ekonomizzi","ekonomizz","-",0,1,"-"
"1565","edificare","edifico","edifiko","edifik","k","are","edifik","k","edifica","edifika","edifik","k","edifichiamo","edifikiamo","edifik","k","edifichi","edifiki","edifik","k",0,1,"-"
"1566","editare","edito","edito","edit","-","are","edit","-","edita","edita","edit","-","editiamo","editiamo","edit","-","editi","editi","edit","-",0,1,"-"
"1567","educare","educo","eduko","eduk","k","are","eduk","k","educa","eduka","eduk","k","educhiamo","edukiamo","eduk","k","educhi","eduki","eduk","k",0,1,"-"
"1568","edulcorare","edulcoro","edulkoro","edulkor","-","are","edulkor","-","edulcora","edulkora","edulkor","-","edulcoriamo","edulkoriamo","edulkor","-","edulcori","edulkori","edulkor","-",0,1,"-"
"1569","effeminare","effemino","effemino","effemin","-","are","effemin","-","effemina","effemina","effemin","-","effeminiamo","effeminiamo","effemin","-","effemini","effemini","effemin","-",0,1,"-"
"1570","effemminare","effemmino","effemmino","effemmin","-","are","effemmin","-","effemmina","effemmina","effemmin","-","effemminiamo","effemminiamo","effemmin","-","effemmini","effemmini","effemmin","-",0,1,"-"
"1571","effettuare","effettuo","effettuo","effettu","-","are","effettu","-","effettua","effettua","effettu","-","effettuiamo","effettuiamo","effettu","-","effettui","effettui","effettu","-",0,1,"-"
"1572","effigiare","effigio","effidGo","effidG","dG","are","effidG","dG","effigia","effidGa","effidG","dG","effigiamo","effidGamo","effidG","dG","effigi","effidGi","effidG","dG",0,1,"-"
"1573","egemonizzare","egemonizzo","edGemonizzo","edGemonizz","-","are","edGemonizz","-","egemonizza","edGemonizza","edGemonizz","-","egemonizziamo","edGemonizziamo","edGemonizz","-","egemonizzi","edGemonizzi","edGemonizz","-",0,1,"-"
"1574","eguagliare","eguaglio","eguaLLo","eguaLL","LL","are","eguaLL","LL","eguaglia","eguaLLa","eguaLL","LL","eguagliamo","eguaLLamo","eguaLL","LL","eguagli","eguaLLi","eguaLL","LL",0,1,"-"
"1575","elaborare","elaboro","elaboro","elabor","-","are","elabor","-","elabora","elabora","elabor","-","elaboriamo","elaboriamo","elabor","-","elabori","elabori","elabor","-",0,1,"-"
"1576","elemosinare","elemosino","elemosino","elemosin","-","are","elemosin","-","elemosina","elemosina","elemosin","-","elemosiniamo","elemosiniamo","elemosin","-","elemosini","elemosini","elemosin","-",0,1,"-"
"1577","elencare","elenco","elenko","elenk","k","are","elenk","k","elenca","elenka","elenk","k","elenchiamo","elenkiamo","elenk","k","elenchi","elenki","elenk","k",0,1,"-"
