"","lemma_morphit","form_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","fonroot_noinc_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf"
"111","cogestire","cogestisco","kodGestisko","kodGestisk","kodGest","k","ire","kodGest","-","cogestisce","kodGestiSSe","kodGestiSS","-","cogestiamo","kodGestiamo","kodGest","-","cogestisca","kodGestiska","kodGestisk","k",1,0
"112","colorire","colorisco","kolorisko","kolorisk","kolor","k","ire","kolor","-","colorisce","koloriSSe","koloriSS","-","coloriamo","koloriamo","kolor","-","colorisca","koloriska","kolorisk","k",1,0
"113","colpire","colpisco","kolpisko","kolpisk","kolp","k","ire","kolp","-","colpisce","kolpiSSe","kolpiSS","-","colpiamo","kolpiamo","kolp","-","colpisca","kolpiska","kolpisk","k",1,0
"114","comparire","compaio","kompaio","kompai","kompai","-","ire","kompar","-","compare","kompare","kompar","-","compariamo","kompariamo","kompar","-","compaia","kompaia","kompai","-",1,0
"115","compatire","compatisco","kompatisko","kompatisk","kompat","k","ire","kompat","-","compatisce","kompatiSSe","kompatiSS","-","compatiamo","kompatiamo","kompat","-","compatisca","kompatiska","kompatisk","k",1,0
"116","compire","compisco","kompisko","kompisk","komp","k","ire","komp","-","compisce","kompiSSe","kompiSS","-","compiamo","kompiamo","komp","-","compisca","kompiska","kompisk","k",1,0
"117","concepire","concepisco","kontSepisko","kontSepisk","kontSep","k","ire","kontSep","-","concepisce","kontSepiSSe","kontSepiSS","-","concepiamo","kontSepiamo","kontSep","-","concepisca","kontSepiska","kontSepisk","k",1,0
"118","concupire","concupisco","konkupisko","konkupisk","konkup","k","ire","konkup","-","concupisce","konkupiSSe","konkupiSS","-","concupiamo","konkupiamo","konkup","-","concupisca","konkupiska","konkupisk","k",1,0
"119","condire","condisco","kondisko","kondisk","kond","k","ire","kond","-","condisce","kondiSSe","kondiSS","-","condiamo","kondiamo","kond","-","condisca","kondiska","kondisk","k",1,0
"120","conferire","conferisco","konferisko","konferisk","konfer","k","ire","konfer","-","conferisce","konferiSSe","konferiSS","-","conferiamo","konferiamo","konfer","-","conferisca","konferiska","konferisk","k",1,0
"121","confluire","confluisco","konfluisko","konfluisk","konflu","k","ire","konflu","-","confluisce","konfluiSSe","konfluiSS","-","confluiamo","konfluiamo","konflu","-","confluisca","konfluiska","konfluisk","k",1,0
"122","conseguire","conseguo","konseguo","konsegu","konsegu","-","ire","konsegu","-","consegue","konsegue","konsegu","-","conseguiamo","konseguiamo","konsegu","-","consegua","konsegua","konsegu","-",0,1
"123","consentire","consento","konsento","konsent","konsent","-","ire","konsent","-","consente","konsente","konsent","-","consentiamo","konsentiamo","konsent","-","consenta","konsenta","konsent","-",0,1
"124","contraddire","contraddico","kontraddiko","kontraddik","kontraddik","k","ire","kontradd","-","contraddice","kontradditSe","kontradditS","tS","contraddiciamo","kontradditSamo","kontradd","-","contraddica","kontraddika","kontraddik","k",1,0
"125","contravvenire","contravvengo","kontravvengo","kontravveng","kontravveng","ng","ire","kontravven","-","contravviene","kontravviene","kontravvien","-","contravveniamo","kontravveniamo","kontravven","-","contravvenga","kontravvenga","kontravveng","ng",1,0
"126","contribuire","contribuisco","kontribuisko","kontribuisk","kontribu","k","ire","kontribu","-","contribuisce","kontribuiSSe","kontribuiSS","-","contribuiamo","kontribuiamo","kontribu","-","contribuisca","kontribuiska","kontribuisk","k",1,0
"127","convenire","convengo","konvengo","konveng","konveng","ng","ire","konven","-","conviene","konviene","konvien","-","conveniamo","konveniamo","konven","-","convenga","konvenga","konveng","ng",1,0
