"","lemma_morphit","form_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","fonroot_noinc_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf"
"128","convertire","converto","konverto","konvert","konvert","-","ire","konvert","-","converte","konverte","konvert","-","convertiamo","konvertiamo","konvert","-","converta","konverta","konvert","-",0,1
"129","coprire","copro","kopro","kopr","kopr","-","ire","kopr","-","copre","kopre","kopr","-","copriamo","kopriamo","kopr","-","copra","kopra","kopr","-",0,1
"130","costituire","costituisco","kostituisko","kostituisk","kostitu","k","ire","kostitu","-","costituisce","kostituiSSe","kostituiSS","-","costituiamo","kostituiamo","kostitu","-","costituisca","kostituiska","kostituisk","k",1,0
"131","costruire","costruisco","kostruisko","kostruisk","kostru","k","ire","kostru","-","costruisce","kostruiSSe","kostruiSS","-","costruiamo","kostruiamo","kostru","-","costruisca","kostruiska","kostruisk","k",1,0
"132","cucire","cucio","kutSo","kutS","kutS","tS","ire","kutS","tS","cuce","kutSe","kutS","tS","cuciamo","kutSamo","kutS","tS","cucia","kutSa","kutS","tS",0,1
"133","custodire","custodisco","kustodisko","kustodisk","kustod","k","ire","kustod","-","custodisce","kustodiSSe","kustodiSS","-","custodiamo","kustodiamo","kustod","-","custodisca","kustodiska","kustodisk","k",1,0
"134","decostruire","decostruisco","dekostruisko","dekostruisk","dekostru","k","ire","dekostru","-","decostruisce","dekostruiSSe","dekostruiSS","-","decostruiamo","dekostruiamo","dekostru","-","decostruisca","dekostruiska","dekostruisk","k",1,0
"135","deferire","deferisco","deferisko","deferisk","defer","k","ire","defer","-","deferisce","deferiSSe","deferiSS","-","deferiamo","deferiamo","defer","-","deferisca","deferiska","deferisk","k",1,0
"136","definire","definisco","definisko","definisk","defin","k","ire","defin","-","definisce","definiSSe","definiSS","-","definiamo","definiamo","defin","-","definisca","definiska","definisk","k",1,0
"137","defluire","defluisco","defluisko","defluisk","deflu","k","ire","deflu","-","defluisce","defluiSSe","defluiSS","-","defluiamo","defluiamo","deflu","-","defluisca","defluiska","defluisk","k",1,0
"138","deglutire","deglutisco","deglutisko","deglutisk","deglut","k","ire","deglut","-","deglutisce","deglutiSSe","deglutiSS","-","deglutiamo","deglutiamo","deglut","-","deglutisca","deglutiska","deglutisk","k",1,0
"139","demolire","demolisco","demolisko","demolisk","demol","k","ire","demol","-","demolisce","demoliSSe","demoliSS","-","demoliamo","demoliamo","demol","-","demolisca","demoliska","demolisk","k",1,0
"140","deperire","deperisco","deperisko","deperisk","deper","k","ire","deper","-","deperisce","deperiSSe","deperiSS","-","deperiamo","deperiamo","deper","-","deperisca","deperiska","deperisk","k",1,0
"141","destituire","destituisco","destituisko","destituisk","destitu","k","ire","destitu","-","destituisce","destituiSSe","destituiSS","-","destituiamo","destituiamo","destitu","-","destituisca","destituiska","destituisk","k",1,0
"142","differire","differisco","differisko","differisk","differ","k","ire","differ","-","differisce","differiSSe","differiSS","-","differiamo","differiamo","differ","-","differisca","differiska","differisk","k",1,0
"143","digerire","digerisco","didGerisko","didGerisk","didGer","k","ire","didGer","-","digerisce","didGeriSSe","didGeriSS","-","digeriamo","didGeriamo","didGer","-","digerisca","didGeriska","didGerisk","k",1,0
"144","diluire","diluisco","diluisko","diluisk","dilu","k","ire","dilu","-","diluisce","diluiSSe","diluiSS","-","diluiamo","diluiamo","dilu","-","diluisca","diluiska","diluisk","k",1,0
"145","dimagrire","dimagrisco","dimagrisko","dimagrisk","dimagr","k","ire","dimagr","-","dimagrisce","dimagriSSe","dimagriSS","-","dimagriamo","dimagriamo","dimagr","-","dimagrisca","dimagriska","dimagrisk","k",1,0
"146","diminuire","diminuisco","diminuisko","diminuisk","diminu","k","ire","diminu","-","diminuisce","diminuiSSe","diminuiSS","-","diminuiamo","diminuiamo","diminu","-","diminuisca","diminuiska","diminuisk","k",1,0
"147","dipartire","diparto","diparto","dipart","dipart","-","ire","dipart","-","diparte","diparte","dipart","-","dipartiamo","dipartiamo","dipart","-","diparta","diparta","dipart","-",0,1
"148","dire","dico","diko","dik","dik","k","ire","d","-","dice","ditSe","ditS","tS","diciamo","ditSamo","d","-","dica","dika","dik","k",1,0
"149","discoprire","discopro","diskopro","diskopr","diskopr","-","ire","diskopr","-","discopre","diskopre","diskopr","-","discopriamo","diskopriamo","diskopr","-","discopra","diskopra","diskopr","-",0,1
"150","disdire","disdico","disdiko","disdik","disdik","k","ire","disd","-","disdice","disditSe","disditS","tS","disdiciamo","disditSamo","disd","-","disdica","disdika","disdik","k",1,0
"151","disobbedire","disobbedisco","disobbedisko","disobbedisk","disobbed","k","ire","disobbed","-","disobbedisce","disobbediSSe","disobbediSS","-","disobbediamo","disobbediamo","disobbed","-","disobbedisca","disobbediska","disobbedisk","k",1,0
"152","disparire","disparo","disparo","dispar","dispar","-","ire","dispar","-","dispare","dispare","dispar","-","dispariamo","dispariamo","dispar","-","dispara","dispara","dispar","-",0,1
"153","disquisire","disquisisco","disquisisko","disquisisk","disquis","k","ire","disquis","-","disquisisce","disquisiSSe","disquisiSS","-","disquisiamo","disquisiamo","disquis","-","disquisisca","disquisiska","disquisisk","k",1,0
"154","dissentire","dissento","dissento","dissent","dissent","-","ire","dissent","-","dissente","dissente","dissent","-","dissentiamo","dissentiamo","dissent","-","dissenta","dissenta","dissent","-",0,1
"155","disseppellire","disseppellisco","disseppellisko","disseppellisk","disseppell","k","ire","disseppell","-","disseppellisce","disseppelliSSe","disseppelliSS","-","disseppelliamo","disseppelliamo","disseppell","-","disseppellisca","disseppelliska","disseppellisk","k",1,0
"156","distribuire","distribuisco","distribuisko","distribuisk","distribu","k","ire","distribu","-","distribuisce","distribuiSSe","distribuiSS","-","distribuiamo","distribuiamo","distribu","-","distribuisca","distribuiska","distribuisk","k",1,0
"157","disubbidire","disubbidisco","disubbidisko","disubbidisk","disubbid","k","ire","disubbid","-","disubbidisce","disubbidiSSe","disubbidiSS","-","disubbidiamo","disubbidiamo","disubbid","-","disubbidisca","disubbidiska","disubbidisk","k",1,0
"158","disunire","disunisco","disunisko","disunisk","disun","k","ire","disun","-","disunisce","disuniSSe","disuniSS","-","disuniamo","disuniamo","disun","-","disunisca","disuniska","disunisk","k",1,0
"159","disvestire","disvesto","disvesto","disvest","disvest","-","ire","disvest","-","disveste","disveste","disvest","-","disvestiamo","disvestiamo","disvest","-","disvesta","disvesta","disvest","-",0,1
"160","divenire","divengo","divengo","diveng","diveng","ng","ire","diven","-","diviene","diviene","divien","-","diveniamo","diveniamo","diven","-","divenga","divenga","diveng","ng",1,0
"161","divertire","diverto","diverto","divert","divert","-","ire","divert","-","diverte","diverte","divert","-","divertiamo","divertiamo","divert","-","diverta","diverta","divert","-",0,1
"162","dormire","dormo","dormo","dorm","dorm","-","ire","dorm","-","dorme","dorme","dorm","-","dormiamo","dormiamo","dorm","-","dorma","dorma","dorm","-",0,1
"163","eccepire","eccepisco","ettSepisko","ettSepisk","ettSep","k","ire","ettSep","-","eccepisce","ettSepiSSe","ettSepiSS","-","eccepiamo","ettSepiamo","ettSep","-","eccepisca","ettSepiska","ettSepisk","k",1,0
"164","elargire","elargisco","elardGisko","elardGisk","elardG","k","ire","elardG","dG","elargisce","elardGiSSe","elardGiSS","-","elargiamo","elardGamo","elardG","dG","elargisca","elardGiska","elardGisk","k",1,0
"165","empire","empio","empio","empi","empi","-","ire","emp","-","empie","empie","empi","-","empiamo","empiamo","emp","-","empia","empia","empi","-",0,0
"166","erudire","erudisco","erudisko","erudisk","erud","k","ire","erud","-","erudisce","erudiSSe","erudiSS","-","erudiamo","erudiamo","erud","-","erudisca","erudiska","erudisk","k",1,0
"167","esaudire","esaudisco","esaudisko","esaudisk","esaud","k","ire","esaud","-","esaudisce","esaudiSSe","esaudiSS","-","esaudiamo","esaudiamo","esaud","-","esaudisca","esaudiska","esaudisk","k",1,0
"168","esaurire","esaurisco","esaurisko","esaurisk","esaur","k","ire","esaur","-","esaurisce","esauriSSe","esauriSS","-","esauriamo","esauriamo","esaur","-","esaurisca","esauriska","esaurisk","k",1,0
"169","eseguire","eseguo","eseguo","esegu","esegu","-","ire","esegu","-","esegue","esegue","esegu","-","eseguiamo","eseguiamo","esegu","-","esegua","esegua","esegu","-",0,1
"170","esercire","esercisco","esertSisko","esertSisk","esertS","k","ire","esertS","tS","esercisce","esertSiSSe","esertSiSS","-","eserciamo","esertSamo","esertS","tS","esercisca","esertSiska","esertSisk","k",1,0
"171","esibire","esibisco","esibisko","esibisk","esib","k","ire","esib","-","esibisce","esibiSSe","esibiSS","-","esibiamo","esibiamo","esib","-","esibisca","esibiska","esibisk","k",1,0
"172","esordire","esordisco","esordisko","esordisk","esord","k","ire","esord","-","esordisce","esordiSSe","esordiSS","-","esordiamo","esordiamo","esord","-","esordisca","esordiska","esordisk","k",1,0
"173","esperire","esperisco","esperisko","esperisk","esper","k","ire","esper","-","esperisce","esperiSSe","esperiSS","-","esperiamo","esperiamo","esper","-","esperisca","esperiska","esperisk","k",1,0
"174","evoluire","evoluisco","evoluisko","evoluisk","evolu","k","ire","evolu","-","evoluisce","evoluiSSe","evoluiSS","-","evoluiamo","evoluiamo","evolu","-","evoluisca","evoluiska","evoluisk","k",1,0
"175","fallire","fallisco","fallisko","fallisk","fall","k","ire","fall","-","fallisce","falliSSe","falliSS","-","falliamo","falliamo","fall","-","fallisca","falliska","fallisk","k",1,0
"176","farcire","farcisco","fartSisko","fartSisk","fartS","k","ire","fartS","tS","farcisce","fartSiSSe","fartSiSS","-","farciamo","fartSamo","fartS","tS","farcisca","fartSiska","fartSisk","k",1,0
"177","favorire","favorisco","favorisko","favorisk","favor","k","ire","favor","-","favorisce","favoriSSe","favoriSS","-","favoriamo","favoriamo","favor","-","favorisca","favoriska","favorisk","k",1,0
"178","ferire","ferisco","ferisko","ferisk","fer","k","ire","fer","-","ferisce","feriSSe","feriSS","-","feriamo","feriamo","fer","-","ferisca","feriska","ferisk","k",1,0
"179","finire","finisco","finisko","finisk","fin","k","ire","fin","-","finisce","finiSSe","finiSS","-","finiamo","finiamo","fin","-","finisca","finiska","finisk","k",1,0
"180","fiorire","fiorisco","fiorisko","fiorisk","fior","k","ire","fior","-","fiorisce","fioriSSe","fioriSS","-","fioriamo","fioriamo","fior","-","fiorisca","fioriska","fiorisk","k",1,0
"181","fluire","fluisco","fluisko","fluisk","flu","k","ire","flu","-","fluisce","fluiSSe","fluiSS","-","fluiamo","fluiamo","flu","-","fluisca","fluiska","fluisk","k",1,0
"182","forbire","forbisco","forbisko","forbisk","forb","k","ire","forb","-","forbisce","forbiSSe","forbiSS","-","forbiamo","forbiamo","forb","-","forbisca","forbiska","forbisk","k",1,0
"183","fornire","fornisco","fornisko","fornisk","forn","k","ire","forn","-","fornisce","forniSSe","forniSS","-","forniamo","forniamo","forn","-","fornisca","forniska","fornisk","k",1,0
"184","frinire","frinisco","frinisko","frinisk","frin","k","ire","frin","-","frinisce","friniSSe","friniSS","-","friniamo","friniamo","frin","-","frinisca","friniska","frinisk","k",1,0
"185","fruire","fruisco","fruisko","fruisk","fru","k","ire","fru","-","fruisce","fruiSSe","fruiSS","-","fruiamo","fruiamo","fru","-","fruisca","fruiska","fruisk","k",1,0
"186","fuggire","fuggo","fuggo","fugg","fugg","g","ire","fuddG","dG","fugge","fuddGe","fuddG","dG","fuggiamo","fuddGamo","fuddG","dG","fugga","fugga","fugg","g",1,0
"187","fuoriuscire","fuoriesco","fuoriesko","fuoriesk","fuoriesk","k","ire","fuoriuSS","-","fuoriesce","fuorieSSe","fuorieSS","-","fuoriusciamo","fuoriuSSamo","fuoriuSS","-","fuoriesca","fuorieska","fuoriesk","k",1,0
"188","fuoruscire","fuoresco","fuoresko","fuoresk","fuoresk","k","ire","fuoruSS","-","fuoresce","fuoreSSe","fuoreSS","-","fuorusciamo","fuoruSSamo","fuoruSS","-","fuoresca","fuoreska","fuoresk","k",1,0
"189","garantire","garantisco","garantisko","garantisk","garant","k","ire","garant","-","garantisce","garantiSSe","garantiSS","-","garantiamo","garantiamo","garant","-","garantisca","garantiska","garantisk","k",1,0
"190","garrire","garrisco","garrisko","garrisk","garr","k","ire","garr","-","garrisce","garriSSe","garriSS","-","garriamo","garriamo","garr","-","garrisca","garriska","garrisk","k",1,0
"191","gestire","gestisco","dGestisko","dGestisk","dGest","k","ire","dGest","-","gestisce","dGestiSSe","dGestiSS","-","gestiamo","dGestiamo","dGest","-","gestisca","dGestiska","dGestisk","k",1,0
"192","ghermire","ghermisco","germisko","germisk","germ","k","ire","germ","-","ghermisce","germiSSe","germiSS","-","ghermiamo","germiamo","germ","-","ghermisca","germiska","germisk","k",1,0
"193","gioire","gioisco","dGoisko","dGoisk","dGo","k","ire","dGo","-","gioisce","dGoiSSe","dGoiSS","-","gioiamo","dGoiamo","dGo","-","gioisca","dGoiska","dGoisk","k",1,0
"194","gradire","gradisco","gradisko","gradisk","grad","k","ire","grad","-","gradisce","gradiSSe","gradiSS","-","gradiamo","gradiamo","grad","-","gradisca","gradiska","gradisk","k",1,0
"195","graffire","graffo","graffo","graff","graff","-","ire","graff","-","graffe","graffe","graff","-","graffiamo","graffiamo","graff","-","graffa","graffa","graff","-",0,1
"196","granire","granisco","granisko","granisk","gran","k","ire","gran","-","granisce","graniSSe","graniSS","-","graniamo","graniamo","gran","-","granisca","graniska","granisk","k",1,0
"197","gremire","gremisco","gremisko","gremisk","grem","k","ire","grem","-","gremisce","gremiSSe","gremiSS","-","gremiamo","gremiamo","grem","-","gremisca","gremiska","gremisk","k",1,0
"198","grugnire","grugno","gruNNo","gruNN","gruNN","NN","ire","gruNN","NN","grugne","gruNNe","gruNN","NN","grugniamo","gruNNiamo","gruNN","NN","grugna","gruNNa","gruNN","NN",0,1
"199","guaire","guaisco","guaisko","guaisk","gua","k","ire","gua","-","guaisce","guaiSSe","guaiSS","-","guaiamo","guaiamo","gua","-","guaisca","guaiska","guaisk","k",1,0
"200","gualcire","gualco","gualko","gualk","gualk","k","ire","gualtS","tS","gualce","gualtSe","gualtS","tS","gualciamo","gualtSamo","gualtS","tS","gualca","gualka","gualk","k",1,0
"201","guarire","guarisco","guarisko","guarisk","guar","k","ire","guar","-","guarisce","guariSSe","guariSS","-","guariamo","guariamo","guar","-","guarisca","guariska","guarisk","k",1,0
"202","guarnire","guarnisco","guarnisko","guarnisk","guarn","k","ire","guarn","-","guarnisce","guarniSSe","guarniSS","-","guarniamo","guarniamo","guarn","-","guarnisca","guarniska","guarnisk","k",1,0
"203","illanguidire","illanguidisco","illanguidisko","illanguidisk","illanguid","k","ire","illanguid","-","illanguidisce","illanguidiSSe","illanguidiSS","-","illanguidiamo","illanguidiamo","illanguid","-","illanguidisca","illanguidiska","illanguidisk","k",1,0
"204","illeggiadrire","illeggiadrisco","illeddGadrisko","illeddGadrisk","illeddGadr","k","ire","illeddGadr","-","illeggiadrisce","illeddGadriSSe","illeddGadriSS","-","illeggiadriamo","illeddGadriamo","illeddGadr","-","illeggiadrisca","illeddGadriska","illeddGadrisk","k",1,0
"205","illividire","illividisco","illividisko","illividisk","illivid","k","ire","illivid","-","illividisce","illividiSSe","illividiSS","-","illividiamo","illividiamo","illivid","-","illividisca","illividiska","illividisk","k",1,0
"206","imbandire","imbandisco","imbandisko","imbandisk","imband","k","ire","imband","-","imbandisce","imbandiSSe","imbandiSS","-","imbandiamo","imbandiamo","imband","-","imbandisca","imbandiska","imbandisk","k",1,0
"207","imbarbarire","imbarbarisco","imbarbarisko","imbarbarisk","imbarbar","k","ire","imbarbar","-","imbarbarisce","imbarbariSSe","imbarbariSS","-","imbarbariamo","imbarbariamo","imbarbar","-","imbarbarisca","imbarbariska","imbarbarisk","k",1,0
"208","imbastardire","imbastardisco","imbastardisko","imbastardisk","imbastard","k","ire","imbastard","-","imbastardisce","imbastardiSSe","imbastardiSS","-","imbastardiamo","imbastardiamo","imbastard","-","imbastardisca","imbastardiska","imbastardisk","k",1,0
"209","imbastire","imbastisco","imbastisko","imbastisk","imbast","k","ire","imbast","-","imbastisce","imbastiSSe","imbastiSS","-","imbastiamo","imbastiamo","imbast","-","imbastisca","imbastiska","imbastisk","k",1,0
"210","imbellire","imbellisco","imbellisko","imbellisk","imbell","k","ire","imbell","-","imbellisce","imbelliSSe","imbelliSS","-","imbelliamo","imbelliamo","imbell","-","imbellisca","imbelliska","imbellisk","k",1,0
"211","imbestialire","imbestialisco","imbestialisko","imbestialisk","imbestial","k","ire","imbestial","-","imbestialisce","imbestialiSSe","imbestialiSS","-","imbestialiamo","imbestialiamo","imbestial","-","imbestialisca","imbestialiska","imbestialisk","k",1,0
"212","imbiondire","imbiondisco","imbiondisko","imbiondisk","imbiond","k","ire","imbiond","-","imbiondisce","imbiondiSSe","imbiondiSS","-","imbiondiamo","imbiondiamo","imbiond","-","imbiondisca","imbiondiska","imbiondisk","k",1,0
"213","imbizzarrire","imbizzarrisco","imbizzarrisko","imbizzarrisk","imbizzarr","k","ire","imbizzarr","-","imbizzarrisce","imbizzarriSSe","imbizzarriSS","-","imbizzarriamo","imbizzarriamo","imbizzarr","-","imbizzarrisca","imbizzarriska","imbizzarrisk","k",1,0
"214","imbolsire","imbolsisco","imbolsisko","imbolsisk","imbols","k","ire","imbols","-","imbolsisce","imbolsiSSe","imbolsiSS","-","imbolsiamo","imbolsiamo","imbols","-","imbolsisca","imbolsiska","imbolsisk","k",1,0
"215","imbonire","imbonisco","imbonisko","imbonisk","imbon","k","ire","imbon","-","imbonisce","imboniSSe","imboniSS","-","imboniamo","imboniamo","imbon","-","imbonisca","imboniska","imbonisk","k",1,0
"216","imborghesire","imborghesisco","imborgesisko","imborgesisk","imborges","k","ire","imborges","-","imborghesisce","imborgesiSSe","imborgesiSS","-","imborghesiamo","imborgesiamo","imborges","-","imborghesisca","imborgesiska","imborgesisk","k",1,0
"217","imbottire","imbottisco","imbottisko","imbottisk","imbott","k","ire","imbott","-","imbottisce","imbottiSSe","imbottiSS","-","imbottiamo","imbottiamo","imbott","-","imbottisca","imbottiska","imbottisk","k",1,0
"218","imbrunire","imbrunisco","imbrunisko","imbrunisk","imbrun","k","ire","imbrun","-","imbrunisce","imbruniSSe","imbruniSS","-","imbruniamo","imbruniamo","imbrun","-","imbrunisca","imbruniska","imbrunisk","k",1,0
"219","imbruttire","imbruttisco","imbruttisko","imbruttisk","imbrutt","k","ire","imbrutt","-","imbruttisce","imbruttiSSe","imbruttiSS","-","imbruttiamo","imbruttiamo","imbrutt","-","imbruttisca","imbruttiska","imbruttisk","k",1,0
"220","immalinconire","immalinconisco","immalinkonisko","immalinkonisk","immalinkon","k","ire","immalinkon","-","immalinconisce","immalinkoniSSe","immalinkoniSS","-","immalinconiamo","immalinkoniamo","immalinkon","-","immalinconisca","immalinkoniska","immalinkonisk","k",1,0
"221","immiserire","immiserisco","immiserisko","immiserisk","immiser","k","ire","immiser","-","immiserisce","immiseriSSe","immiseriSS","-","immiseriamo","immiseriamo","immiser","-","immiserisca","immiseriska","immiserisk","k",1,0
"222","immusonire","immusonisco","immusonisko","immusonisk","immuson","k","ire","immuson","-","immusonisce","immusoniSSe","immusoniSS","-","immusoniamo","immusoniamo","immuson","-","immusonisca","immusoniska","immusonisk","k",1,0
"223","impadronire","impadronisco","impadronisko","impadronisk","impadron","k","ire","impadron","-","impadronisce","impadroniSSe","impadroniSS","-","impadroniamo","impadroniamo","impadron","-","impadronisca","impadroniska","impadronisk","k",1,0
"224","impallidire","impallidisco","impallidisko","impallidisk","impallid","k","ire","impallid","-","impallidisce","impallidiSSe","impallidiSS","-","impallidiamo","impallidiamo","impallid","-","impallidisca","impallidiska","impallidisk","k",1,0
"225","impartire","impartisco","impartisko","impartisk","impart","k","ire","impart","-","impartisce","impartiSSe","impartiSS","-","impartiamo","impartiamo","impart","-","impartisca","impartiska","impartisk","k",1,0
"226","impaurire","impaurisco","impaurisko","impaurisk","impaur","k","ire","impaur","-","impaurisce","impauriSSe","impauriSS","-","impauriamo","impauriamo","impaur","-","impaurisca","impauriska","impaurisk","k",1,0
"227","impazzire","impazzisco","impazzisko","impazzisk","impazz","k","ire","impazz","-","impazzisce","impazziSSe","impazziSS","-","impazziamo","impazziamo","impazz","-","impazzisca","impazziska","impazzisk","k",1,0
"228","impedire","impedisco","impedisko","impedisk","imped","k","ire","imped","-","impedisce","impediSSe","impediSS","-","impediamo","impediamo","imped","-","impedisca","impediska","impedisk","k",1,0
"229","impensierire","impensierisco","impensierisko","impensierisk","impensier","k","ire","impensier","-","impensierisce","impensieriSSe","impensieriSS","-","impensieriamo","impensieriamo","impensier","-","impensierisca","impensieriska","impensierisk","k",1,0
"230","impermalire","impermalisco","impermalisko","impermalisk","impermal","k","ire","impermal","-","impermalisce","impermaliSSe","impermaliSS","-","impermaliamo","impermaliamo","impermal","-","impermalisca","impermaliska","impermalisk","k",1,0
"231","impiantire","impiantisco","impiantisko","impiantisk","impiant","k","ire","impiant","-","impiantisce","impiantiSSe","impiantiSS","-","impiantiamo","impiantiamo","impiant","-","impiantisca","impiantiska","impiantisk","k",1,0
"232","impietosire","impietosisco","impietosisko","impietosisk","impietos","k","ire","impietos","-","impietosisce","impietosiSSe","impietosiSS","-","impietosiamo","impietosiamo","impietos","-","impietosisca","impietosiska","impietosisk","k",1,0
"233","impietrire","impietrisco","impietrisko","impietrisk","impietr","k","ire","impietr","-","impietrisce","impietriSSe","impietriSS","-","impietriamo","impietriamo","impietr","-","impietrisca","impietriska","impietrisk","k",1,0
"234","impigrire","impigrisco","impigrisko","impigrisk","impigr","k","ire","impigr","-","impigrisce","impigriSSe","impigriSS","-","impigriamo","impigriamo","impigr","-","impigrisca","impigriska","impigrisk","k",1,0
"235","impoltronire","impoltronisco","impoltronisko","impoltronisk","impoltron","k","ire","impoltron","-","impoltronisce","impoltroniSSe","impoltroniSS","-","impoltroniamo","impoltroniamo","impoltron","-","impoltronisca","impoltroniska","impoltronisk","k",1,0
"236","impoverire","impoverisco","impoverisko","impoverisk","impover","k","ire","impover","-","impoverisce","impoveriSSe","impoveriSS","-","impoveriamo","impoveriamo","impover","-","impoverisca","impoveriska","impoverisk","k",1,0
"237","impratichire","impratichisco","impratikisko","impratikisk","impratik","k","ire","impratik","k","impratichisce","impratikiSSe","impratikiSS","-","impratichiamo","impratikiamo","impratik","k","impratichisca","impratikiska","impratikisk","k",1,0
"238","impreziosire","impreziosisco","impreziosisko","impreziosisk","imprezios","k","ire","imprezios","-","impreziosisce","impreziosiSSe","impreziosiSS","-","impreziosiamo","impreziosiamo","imprezios","-","impreziosisca","impreziosiska","impreziosisk","k",1,0
"239","imputridire","imputridisco","imputridisko","imputridisk","imputrid","k","ire","imputrid","-","imputridisce","imputridiSSe","imputridiSS","-","imputridiamo","imputridiamo","imputrid","-","imputridisca","imputridiska","imputridisk","k",1,0
"240","impuzzolentire","impuzzolentisco","impuzzolentisko","impuzzolentisk","impuzzolent","k","ire","impuzzolent","-","impuzzolentisce","impuzzolentiSSe","impuzzolentiSS","-","impuzzolentiamo","impuzzolentiamo","impuzzolent","-","impuzzolentisca","impuzzolentiska","impuzzolentisk","k",1,0
"241","inacerbire","inacerbisco","inatSerbisko","inatSerbisk","inatSerb","k","ire","inatSerb","-","inacerbisce","inatSerbiSSe","inatSerbiSS","-","inacerbiamo","inatSerbiamo","inatSerb","-","inacerbisca","inatSerbiska","inatSerbisk","k",1,0
"242","inacetire","inacetisco","inatSetisko","inatSetisk","inatSet","k","ire","inatSet","-","inacetisce","inatSetiSSe","inatSetiSS","-","inacetiamo","inatSetiamo","inatSet","-","inacetisca","inatSetiska","inatSetisk","k",1,0
"243","inacidire","inacidisco","inatSidisko","inatSidisk","inatSid","k","ire","inatSid","-","inacidisce","inatSidiSSe","inatSidiSS","-","inacidiamo","inatSidiamo","inatSid","-","inacidisca","inatSidiska","inatSidisk","k",1,0
"244","inaridire","inaridisco","inaridisko","inaridisk","inarid","k","ire","inarid","-","inaridisce","inaridiSSe","inaridiSS","-","inaridiamo","inaridiamo","inarid","-","inaridisca","inaridiska","inaridisk","k",1,0
"245","inasprire","inasprisco","inasprisko","inasprisk","inaspr","k","ire","inaspr","-","inasprisce","inaspriSSe","inaspriSS","-","inaspriamo","inaspriamo","inaspr","-","inasprisca","inaspriska","inasprisk","k",1,0
"246","incallire","incallisco","inkallisko","inkallisk","inkall","k","ire","inkall","-","incallisce","inkalliSSe","inkalliSS","-","incalliamo","inkalliamo","inkall","-","incallisca","inkalliska","inkallisk","k",1,0
"247","incalorire","incalorisco","inkalorisko","inkalorisk","inkalor","k","ire","inkalor","-","incalorisce","inkaloriSSe","inkaloriSS","-","incaloriamo","inkaloriamo","inkalor","-","incalorisca","inkaloriska","inkalorisk","k",1,0
"248","incancrenire","incancrenisco","inkankrenisko","inkankrenisk","inkankren","k","ire","inkankren","-","incancrenisce","inkankreniSSe","inkankreniSS","-","incancreniamo","inkankreniamo","inkankren","-","incancrenisca","inkankreniska","inkankrenisk","k",1,0
"249","incanutire","incanutisco","inkanutisko","inkanutisk","inkanut","k","ire","inkanut","-","incanutisce","inkanutiSSe","inkanutiSS","-","incanutiamo","inkanutiamo","inkanut","-","incanutisca","inkanutiska","inkanutisk","k",1,0
"250","incaponire","incaponisco","inkaponisko","inkaponisk","inkapon","k","ire","inkapon","-","incaponisce","inkaponiSSe","inkaponiSS","-","incaponiamo","inkaponiamo","inkapon","-","incaponisca","inkaponiska","inkaponisk","k",1,0
"251","incarnire","incarnisco","inkarnisko","inkarnisk","inkarn","k","ire","inkarn","-","incarnisce","inkarniSSe","inkarniSS","-","incarniamo","inkarniamo","inkarn","-","incarnisca","inkarniska","inkarnisk","k",1,0
"252","incarognire","incarognisco","inkaroNNisko","inkaroNNisk","inkaroNN","k","ire","inkaroNN","NN","incarognisce","inkaroNNiSSe","inkaroNNiSS","-","incarogniamo","inkaroNNiamo","inkaroNN","NN","incarognisca","inkaroNNiska","inkaroNNisk","k",1,0
"253","incartapecorire","incartapecorisco","inkartapekorisko","inkartapekorisk","inkartapekor","k","ire","inkartapekor","-","incartapecorisce","inkartapekoriSSe","inkartapekoriSS","-","incartapecoriamo","inkartapekoriamo","inkartapekor","-","incartapecora","inkartapekora","inkartapekor","-",0,0
"254","incartapecorire","incartapecorisco","inkartapekorisko","inkartapekorisk","inkartapekor","k","ire","inkartapekor","-","incartapecorisce","inkartapekoriSSe","inkartapekoriSS","-","incartapecoriamo","inkartapekoriamo","inkartapekor","-","incartapecorisca","inkartapekoriska","inkartapekorisk","k",1,0
"255","incartapecorire","incartapecoro","inkartapekoro","inkartapekor","inkartapekor","-","ire","inkartapekor","-","incartapecorisce","inkartapekoriSSe","inkartapekoriSS","-","incartapecoriamo","inkartapekoriamo","inkartapekor","-","incartapecora","inkartapekora","inkartapekor","-",1,1
"256","incartapecorire","incartapecoro","inkartapekoro","inkartapekor","inkartapekor","-","ire","inkartapekor","-","incartapecorisce","inkartapekoriSSe","inkartapekoriSS","-","incartapecoriamo","inkartapekoriamo","inkartapekor","-","incartapecorisca","inkartapekoriska","inkartapekorisk","k",0,1
"257","incattivire","incattivisco","inkattivisko","inkattivisk","inkattiv","k","ire","inkattiv","-","incattivisce","inkattiviSSe","inkattiviSS","-","incattiviamo","inkattiviamo","inkattiv","-","incattivisca","inkattiviska","inkattivisk","k",1,0
