"","lemma_morphit","form_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf","fonroot_noinc_1ps_ind"
"497","rivendere","rivendo","rivendo","rivend","-","ere","rivend","-","rivende","rivende","rivend","-","rivendiamo","rivendiamo","rivend","-","rivenda","rivenda","rivend","-",0,1,"-"
"498","rivincere","rivinco","rivinko","rivink","k","ere","rivintS","tS","rivince","rivintSe","rivintS","tS","rivinciamo","rivintSamo","rivintS","tS","rivinca","rivinka","rivink","k",1,0,"-"
"499","rivivere","rivivo","rivivo","riviv","-","ere","riviv","-","rivive","rivive","riviv","-","riviviamo","riviviamo","riviv","-","riviva","riviva","riviv","-",0,1,"-"
"500","rivolere","rivoglio","rivoLLo","rivoLL","LL","ere","rivol","-","rivuole","rivuole","rivuol","-","rivogliamo","rivoLLamo","","-","rivoglia","rivoLLa","rivoLL","LL",1,0,"-"
"501","rivolgere","rivolgo","rivolgo","rivolg","lg","ere","rivoldG","dG","rivolge","rivoldGe","rivoldG","dG","rivolgiamo","rivoldGamo","rivoldG","dG","rivolga","rivolga","rivolg","lg",1,0,"-"
"502","rodere","rodo","rodo","rod","-","ere","rod","-","rode","rode","rod","-","rodiamo","rodiamo","rod","-","roda","roda","rod","-",0,1,"-"
"503","rompere","rompo","rompo","romp","-","ere","romp","-","rompe","rompe","romp","-","rompiamo","rompiamo","romp","-","rompa","rompa","romp","-",0,1,"-"
"504","sapere","so","so","s","-","ere","sap","-","sa","sa","s","-","sappiamo","sappiamo","sap","-","sappia","sappia","sappi","-",0,0,"-"
"505","sbattere","sbatto","sbatto","sbatt","-","ere","sbatt","-","sbatte","sbatte","sbatt","-","sbattiamo","sbattiamo","sbatt","-","sbatta","sbatta","sbatt","-",0,1,"-"
"506","scadere","scado","skado","skad","-","ere","skad","-","scade","skade","skad","-","scadiamo","skadiamo","skad","-","scada","skada","skad","-",0,1,"-"
"507","scegliere","scelgo","Selgo","Selg","lg","ere","SeLL","LL","sceglie","SeLLe","SeLL","LL","scegliamo","SeLLamo","SeLL","LL","scelga","Selga","Selg","lg",1,0,"-"
"508","scendere","scendo","Sendo","Send","-","ere","Send","-","scende","Sende","Send","-","scendiamo","Sendiamo","Send","-","scenda","Senda","Send","-",0,1,"-"
"509","scernere","scerno","Serno","Sern","-","ere","Sern","-","scerne","Serne","Sern","-","scerniamo","Serniamo","Sern","-","scerna","Serna","Sern","-",0,1,"-"
"510","schiudere","schiudo","skiudo","skiud","-","ere","skiud","-","schiude","skiude","skiud","-","schiudiamo","skiudiamo","skiud","-","schiuda","skiuda","skiud","-",0,1,"-"
"511","scindere","scindo","Sindo","Sind","-","ere","Sind","-","scinde","Sinde","Sind","-","scindiamo","Sindiamo","Sind","-","scinda","Sinda","Sind","-",0,1,"-"
"512","sciogliere","sciolgo","Solgo","Solg","lg","ere","SoLL","LL","scioglie","SoLLe","SoLL","LL","sciogliamo","SoLLamo","SoLL","LL","sciolga","Solga","Solg","lg",1,0,"-"
